subscriber_id,subscriber_name,city,zone,plan_type,plan_name,monthly_charge,activation_date,status
SUB_00036,User_36,Sharjah,1,Postpaid,Standard,319,2023-04-03,Active
SUB_00037,User_37,Dubai,3,Postpaid,Premium,157,2023-01-17,Active
SUB_00038,User_38,Dubai,6,Prepaid,Premium,95,2024-09-14,Active
SUB_00039,User_39,Sharjah,8,Prepaid,Basic,131,2024-05-02,Active
SUB_00040,User_40,Abu Dhabi,2,Prepaid,Basic,175,2023-04-04,Active
SUB_00041,User_41,Dubai,8,Prepaid,Basic,133,2023-01-10,Suspended
SUB_00042,User_42,Abu Dhabi,5,Prepaid,Standard,339,2024-12-24,Active
SUB_00043,User_43,Dubai,3,Prepaid,Unlimited,120,2024-06-11,Active
SUB_00044,User_44,Ajman,7,Postpaid,Basic,224,2024-05-03,Active
SUB_00045,User_45,Dubai,6,Prepaid,Basic,365,2023-05-24,Active
SUB_00046,User_46,Sharjah,7,Prepaid,Basic,379,2024-07-07,Active
SUB_00047,User_47,Dubai,6,Postpaid,Standard,386,2024-05-29,Active
SUB_00048,User_48,Abu Dhabi,2,Prepaid,Premium,444,2024-04-14,Active
SUB_00049,User_49,Abu Dhabi,4,Postpaid,Standard,403,2024-01-12,Active
SUB_00050,User_50,Dubai,6,Postpaid,Premium,140,2024-10-29,Active
SUB_00051,User_51,Fujairah,4,Postpaid,Standard,400,2024-05-08,Active
SUB_00052,User_52,Sharjah,7,Prepaid,Basic,483,2024-11-15,Active
SUB_00053,User_53,Ajman,6,Postpaid,Basic,298,2024-04-28,Active
SUB_00054,User_54,Ajman,2,Prepaid,Premium,181,2024-03-27,Active
SUB_00055,User_55,Abu Dhabi,1,Postpaid,Standard,218,2024-06-19,Active
SUB_00056,User_56,Ajman,2,Prepaid,Standard,492,2023-03-16,Active
SUB_00057,User_57,Dubai,2,Prepaid,Premium,109,2023-02-09,Active
SUB_00058,User_58,Dubai,1,Prepaid,Standard,418,2023-10-29,Active
SUB_00059,User_59,Dubai,1,Prepaid,Premium,386,2024-07-05,Churned
SUB_00060,User_60,Dubai,3,Postpaid,Standard,290,2023-03-03,Active
SUB_00061,User_61,Abu Dhabi,6,Postpaid,Premium,239,2024-05-17,Active
SUB_00062,User_62,Dubai,7,Postpaid,Basic,389,2023-09-02,Active
SUB_00063,User_63,Sharjah,3,Prepaid,Premium,330,2023-01-18,Active
SUB_00064,User_64,Abu Dhabi,1,Postpaid,Unlimited,281,2024-10-13,Active
SUB_00065,User_65,Dubai,4,Prepaid,Standard,338,2024-02-02,Active
SUB_00066,User_66,Abu Dhabi,7,Postpaid,Premium,324,2024-08-16,Active
SUB_00067,User_67,Dubai,4,Postpaid,Premium,362,2023-07-08,Suspended
SUB_00068,User_68,Sharjah,2,Prepaid,Basic,64,2024-09-11,Suspended
SUB_00069,User_69,Dubai,5,Postpaid,Standard,90,2023-04-14,Active
SUB_00070,User_70,Fujairah,2,Prepaid,Basic,257,2024-10-07,Active
SUB_00071,User_71,Sharjah,2,Prepaid,Unlimited,109,2023-12-10,Active
SUB_00072,User_72,Dubai,5,Prepaid,Premium,414,2024-01-06,Active
SUB_00073,User_73,Dubai,6,Prepaid,Basic,289,2023-02-02,Active
SUB_00074,User_74,Sharjah,1,Postpaid,Basic,145,2024-01-09,Active
SUB_00075,User_75,Sharjah,4,Prepaid,Standard,327,2023-06-27,Active
SUB_00076,User_76,Sharjah,2,Prepaid,Standard,476,2023-01-12,Active
SUB_00077,User_77,Sharjah,5,Prepaid,Basic,209,2024-03-31,Active
SUB_00078,User_78,Dubai,3,Postpaid,Standard,446,2024-10-04,Active
SUB_00079,User_79,Abu Dhabi,2,Postpaid,Standard,471,2023-09-06,Active
SUB_00080,User_80,Dubai,4,Postpaid,Basic,331,2024-03-23,Active
SUB_00081,User_81,Ajman,1,Postpaid,Premium,258,2024-07-23,Active
SUB_00082,User_82,Abu Dhabi,2,Prepaid,Unlimited,182,2023-01-04,Suspended
SUB_00083,User_83,Dubai,2,Prepaid,Premium,430,2023-08-24,Active
SUB_00084,User_84,Dubai,6,Prepaid,Premium,482,2023-06-22,Active
SUB_00085,User_85,Dubai,8,Prepaid,Basic,146,2023-11-18,Active
SUB_00086,User_86,Dubai,5,Postpaid,Basic,268,2024-01-06,Active
SUB_00087,User_87,Sharjah,3,Prepaid,Basic,438,2024-07-01,Active
SUB_00088,User_88,Abu Dhabi,3,Postpaid,Premium,120,2023-10-23,Churned
SUB_00089,User_89,Ajman,7,Prepaid,Unlimited,481,2024-02-04,Active
SUB_00090,User_90,Abu Dhabi,1,Prepaid,Premium,323,2023-02-27,Active
SUB_00091,User_91,Dubai,7,Prepaid,Premium,400,2024-06-13,Active
SUB_00092,User_92,Sharjah,4,Postpaid,Standard,183,2024-07-01,Active
SUB_00093,User_93,Sharjah,1,Postpaid,Standard,115,2024-02-12,Active
SUB_00094,User_94,Abu Dhabi,2,Postpaid,Standard,176,2024-10-02,Active
SUB_00095,User_95,Sharjah,8,Prepaid,Basic,254,2024-05-27,Churned
SUB_00096,User_96,Abu Dhabi,2,Postpaid,Basic,347,2023-03-05,Active
SUB_00097,User_97,Abu Dhabi,3,Prepaid,Premium,166,2024-07-27,Active
SUB_00098,User_98,Abu Dhabi,4,Prepaid,Standard,485,2024-02-24,Active
SUB_00099,User_99,Dubai,5,Postpaid,Standard,316,2023-05-26,Active
SUB_00100,User_100,Dubai,4,Prepaid,Standard,331,2023-09-29,Active
SUB_00101,User_101,Dubai,2,Postpaid,Basic,198,2023-01-17,Active
SUB_00102,User_102,Abu Dhabi,5,Prepaid,Standard,243,2023-04-08,Active
SUB_00103,User_103,Dubai,4,Prepaid,Standard,217,2024-03-27,Active
SUB_00104,User_104,Abu Dhabi,8,Postpaid,Standard,361,2023-08-31,Active
SUB_00105,User_105,Ajman,8,Prepaid,Premium,423,2024-04-23,Active
SUB_00106,User_106,Dubai,4,Postpaid,Standard,228,2023-07-20,Active
SUB_00107,User_107,Abu Dhabi,5,Prepaid,Standard,197,2024-04-17,Active
SUB_00108,User_108,Sharjah,2,Postpaid,Premium,106,2023-06-28,Active
SUB_00109,User_109,Dubai,4,Prepaid,Premium,54,2024-05-22,Active
SUB_00110,User_110,Dubai,5,Prepaid,Premium,63,2024-03-28,Active
SUB_00111,User_111,Dubai,6,Prepaid,Basic,329,2023-09-27,Churned
SUB_00112,User_112,Dubai,8,Prepaid,Basic,373,2023-08-22,Active
SUB_00113,User_113,Ajman,6,Postpaid,Basic,485,2024-09-15,Suspended
SUB_00114,User_114,Sharjah,2,Prepaid,Basic,353,2024-04-30,Active
SUB_00115,User_115,Abu Dhabi,5,Prepaid,Unlimited,265,2024-07-31,Active
SUB_00116,User_116,Ajman,6,Prepaid,Standard,224,2023-12-04,Active
SUB_00117,User_117,Sharjah,5,Prepaid,Basic,365,2024-03-23,Active
SUB_00118,User_118,Dubai,4,Postpaid,Basic,52,2024-08-06,Active
SUB_00119,User_119,Ajman,2,Postpaid,Basic,424,2023-12-23,Active
SUB_00120,User_120,Abu Dhabi,6,Prepaid,Standard,186,2023-02-18,Active
SUB_00121,User_121,Sharjah,7,Postpaid,Premium,149,2024-05-10,Suspended
SUB_00122,User_122,Ajman,4,Prepaid,Premium,132,2023-12-12,Churned
SUB_00123,User_123,Dubai,8,Prepaid,Unlimited,329,2024-12-02,Active
SUB_00124,User_124,Dubai,7,Postpaid,Basic,181,2023-10-20,Active
SUB_00125,User_125,Dubai,7,Prepaid,Standard,442,2024-11-19,Active
SUB_00126,User_126,Abu Dhabi,1,Postpaid,Basic,50,2024-11-03,Active
SUB_00127,User_127,Sharjah,1,Postpaid,Standard,165,2023-05-30,Active
SUB_00128,User_128,Ajman,2,Prepaid,Unlimited,468,2024-08-04,Active
SUB_00129,User_129,Dubai,6,Postpaid,Standard,251,2024-06-28,Active
SUB_00130,User_130,Abu Dhabi,6,Postpaid,Premium,189,2023-09-17,Active
SUB_00131,User_131,Abu Dhabi,6,Prepaid,Standard,195,2023-11-18,Active
SUB_00132,User_132,Dubai,5,Postpaid,Basic,315,2023-03-18,Suspended
SUB_00133,User_133,Dubai,4,Prepaid,Basic,251,2023-04-20,Active
SUB_00134,User_134,Dubai,6,Postpaid,Standard,451,2024-10-12,Active
SUB_00135,User_135,Ajman,4,Postpaid,Premium,201,2024-06-30,Active
SUB_00136,User_136,Dubai,2,Prepaid,Basic,434,2024-02-27,Active
SUB_00137,User_137,Abu Dhabi,7,Prepaid,Premium,271,2024-01-29,Active
SUB_00138,User_138,Sharjah,6,Postpaid,Premium,128,2023-08-23,Active
SUB_00139,User_139,Abu Dhabi,2,Prepaid,Standard,249,2023-11-26,Active
SUB_00140,User_140,Fujairah,6,Prepaid,Premium,299,2024-12-12,Suspended
SUB_00141,User_141,Fujairah,1,Prepaid,Standard,148,2023-11-21,Active
SUB_00142,User_142,Dubai,3,Prepaid,Premium,449,2023-05-31,Active
SUB_00143,User_143,Abu Dhabi,2,Prepaid,Premium,262,2024-06-29,Active
SUB_00144,User_144,Dubai,6,Prepaid,Unlimited,192,2024-09-27,Churned
SUB_00145,User_145,Dubai,8,Prepaid,Standard,239,2023-02-01,Active
SUB_00146,User_146,Dubai,3,Postpaid,Standard,438,2023-09-29,Active
SUB_00147,User_147,Abu Dhabi,2,Prepaid,Basic,350,2024-09-27,Churned
SUB_00148,User_148,Abu Dhabi,8,Prepaid,Basic,423,2024-01-03,Churned
SUB_00149,User_149,Dubai,8,Prepaid,Premium,101,2024-05-06,Active
SUB_00150,User_150,Dubai,5,Prepaid,Unlimited,161,2023-11-12,Active
SUB_00151,User_151,Ajman,8,Prepaid,Standard,184,2024-08-12,Active
SUB_00152,User_152,Dubai,6,Prepaid,Basic,460,2024-08-10,Active
SUB_00153,User_153,Dubai,5,Prepaid,Basic,161,2024-07-25,Active
SUB_00154,User_154,Abu Dhabi,1,Postpaid,Standard,62,2024-08-19,Active
SUB_00155,User_155,Fujairah,6,Postpaid,Basic,322,2024-01-03,Active
SUB_00156,User_156,Dubai,7,Postpaid,Basic,282,2023-03-21,Active
SUB_00157,User_157,Sharjah,8,Postpaid,Premium,93,2023-06-21,Churned
SUB_00158,User_158,Sharjah,1,Postpaid,Basic,446,2023-09-15,Active
SUB_00159,User_159,Dubai,3,Prepaid,Standard,122,2023-10-06,Active
SUB_00160,User_160,Sharjah,2,Postpaid,Premium,310,2024-05-18,Churned
SUB_00161,User_161,Abu Dhabi,8,Prepaid,Basic,280,2024-07-11,Active
SUB_00162,User_162,Abu Dhabi,4,Postpaid,Standard,82,2024-05-05,Active
SUB_00163,User_163,Abu Dhabi,1,Postpaid,Premium,437,2024-08-07,Active
SUB_00164,User_164,Abu Dhabi,4,Prepaid,Premium,459,2024-07-19,Active
SUB_00165,User_165,Dubai,8,Prepaid,Standard,117,2023-12-03,Active
SUB_00166,User_166,Sharjah,4,Prepaid,Standard,65,2024-06-04,Active
SUB_00167,User_167,Dubai,8,Postpaid,Premium,199,2023-11-22,Active
SUB_00168,User_168,Dubai,2,Postpaid,Premium,341,2023-06-21,Active
SUB_00169,User_169,Dubai,3,Postpaid,Standard,151,2023-03-25,Active
SUB_00170,User_170,Abu Dhabi,2,Prepaid,Basic,235,2024-06-07,Active
SUB_00171,User_171,Sharjah,6,Postpaid,Basic,488,2024-04-25,Active
SUB_00172,User_172,Dubai,1,Prepaid,Basic,468,2024-06-27,Active
SUB_00173,User_173,Abu Dhabi,4,Postpaid,Standard,74,2024-02-22,Suspended
SUB_00174,User_174,Dubai,2,Prepaid,Basic,121,2023-12-05,Active
SUB_00175,User_175,Abu Dhabi,8,Prepaid,Standard,130,2023-11-16,Active
SUB_00176,User_176,Dubai,2,Prepaid,Premium,110,2023-10-31,Active
SUB_00177,User_177,Sharjah,2,Postpaid,Basic,67,2023-09-29,Active
SUB_00178,User_178,Abu Dhabi,1,Postpaid,Premium,291,2024-11-20,Active
SUB_00179,User_179,Ajman,3,Prepaid,Premium,107,2023-04-24,Active
SUB_00180,User_180,Dubai,7,Prepaid,Basic,381,2024-02-11,Active
SUB_00181,User_181,Dubai,2,Postpaid,Premium,426,2023-01-26,Active
SUB_00182,User_182,Dubai,1,Prepaid,Premium,106,2023-08-25,Active
SUB_00183,User_183,Ajman,4,Postpaid,Standard,146,2023-11-06,Active
SUB_00184,User_184,Ajman,8,Prepaid,Basic,264,2024-11-14,Active
SUB_00185,User_185,Dubai,6,Prepaid,Standard,368,2023-08-21,Active
SUB_00186,User_186,Sharjah,7,Postpaid,Unlimited,61,2024-07-02,Suspended
SUB_00187,User_187,Sharjah,5,Postpaid,Standard,60,2023-09-22,Active
SUB_00188,User_188,Abu Dhabi,7,Prepaid,Basic,446,2023-01-13,Churned
SUB_00189,User_189,Abu Dhabi,8,Prepaid,Premium,212,2024-05-10,Active
SUB_00190,User_190,Dubai,7,Postpaid,Standard,332,2023-11-12,Active
SUB_00191,User_191,Dubai,8,Prepaid,Standard,266,2024-09-09,Active
SUB_00192,User_192,Ajman,1,Postpaid,Premium,409,2024-09-29,Active
SUB_00193,User_193,Ajman,5,Prepaid,Standard,372,2024-01-19,Active
SUB_00194,User_194,Abu Dhabi,2,Prepaid,Premium,290,2024-10-03,Active
SUB_00195,User_195,Dubai,2,Postpaid,Premium,394,2023-11-12,Active
SUB_00196,User_196,Dubai,7,Postpaid,Standard,94,2023-09-13,Active
SUB_00197,User_197,Sharjah,1,Prepaid,Basic,130,2024-03-16,Active
SUB_00198,User_198,Ajman,5,Postpaid,Premium,304,2023-04-25,Active
SUB_00199,User_199,Ajman,2,Prepaid,Unlimited,116,2023-10-26,Active
SUB_00200,User_200,Sharjah,4,Prepaid,Basic,455,2023-05-04,Active
SUB_00201,User_201,Abu Dhabi,3,Postpaid,Standard,151,2023-09-13,Active
SUB_00202,User_202,Dubai,3,Postpaid,Basic,140,2024-10-12,Churned
SUB_00203,User_203,Dubai,2,Postpaid,Premium,91,2024-12-18,Active
SUB_00204,User_204,Ajman,5,Prepaid,Premium,325,2023-02-16,Active
SUB_00205,User_205,Abu Dhabi,6,Prepaid,Basic,353,2024-12-29,Active
SUB_00206,User_206,Dubai,2,Prepaid,Premium,323,2024-04-07,Active
SUB_00207,User_207,Dubai,6,Prepaid,Basic,433,2023-12-16,Active
SUB_00208,User_208,Sharjah,6,Postpaid,Premium,126,2023-05-03,Active
SUB_00209,User_209,Dubai,8,Prepaid,Standard,283,2023-01-31,Active
SUB_00210,User_210,Dubai,8,Postpaid,Standard,251,2023-02-24,Active
SUB_00211,User_211,Abu Dhabi,5,Prepaid,Basic,270,2023-06-02,Active
SUB_00212,User_212,Sharjah,6,Prepaid,Basic,311,2024-03-31,Active
SUB_00213,User_213,Sharjah,4,Prepaid,Premium,88,2023-10-13,Active
SUB_00214,User_214,Dubai,5,Prepaid,Standard,60,2023-02-05,Active
SUB_00215,User_215,Sharjah,2,Prepaid,Basic,161,2023-09-13,Suspended
SUB_00216,User_216,Dubai,7,Postpaid,Basic,458,2023-06-27,Active
SUB_00217,User_217,Dubai,4,Prepaid,Basic,157,2024-07-01,Active
SUB_00218,User_218,Sharjah,1,Postpaid,Premium,143,2023-09-11,Active
SUB_00219,User_219,Abu Dhabi,3,Prepaid,Premium,360,2024-05-22,Active
SUB_00220,User_220,Sharjah,2,Postpaid,Basic,133,2024-11-04,Active
SUB_00221,User_221,Sharjah,2,Prepaid,Standard,107,2023-01-21,Active
SUB_00222,User_222,Abu Dhabi,2,Postpaid,Basic,342,2023-03-16,Active
SUB_00223,User_223,Dubai,4,Prepaid,Unlimited,65,2024-12-19,Active
SUB_00224,User_224,Abu Dhabi,1,Postpaid,Unlimited,375,2024-04-04,Active
SUB_00225,User_225,Dubai,7,Postpaid,Premium,142,2023-06-27,Active
SUB_00226,User_226,Dubai,5,Prepaid,Unlimited,214,2024-01-17,Active
SUB_00227,User_227,Fujairah,8,Prepaid,Premium,486,2023-02-06,Active
SUB_00228,User_228,Abu Dhabi,1,Prepaid,Premium,264,2023-04-30,Active
SUB_00229,User_229,Ajman,4,Postpaid,Standard,193,2024-09-21,Active
SUB_00230,User_230,Abu Dhabi,2,Prepaid,Standard,323,2023-01-01,Active
SUB_00231,User_231,Sharjah,3,Prepaid,Basic,452,2024-12-21,Churned
SUB_00232,User_232,Abu Dhabi,2,Prepaid,Standard,477,2023-11-07,Active
SUB_00233,User_233,Abu Dhabi,5,Prepaid,Standard,435,2023-07-27,Active
SUB_00234,User_234,Abu Dhabi,6,Postpaid,Basic,491,2023-06-03,Active
SUB_00235,User_235,Dubai,3,Prepaid,Basic,187,2024-11-13,Active
SUB_00236,User_236,Sharjah,2,Postpaid,Standard,253,2023-11-11,Suspended
SUB_00237,User_237,Dubai,7,Postpaid,Basic,351,2023-11-03,Active
SUB_00238,User_238,Dubai,3,Prepaid,Standard,259,2024-05-18,Active
SUB_00239,User_239,Abu Dhabi,6,Postpaid,Unlimited,68,2024-09-10,Active
SUB_00240,User_240,Dubai,8,Prepaid,Premium,343,2024-10-16,Active
SUB_00241,User_241,Ajman,1,Postpaid,Premium,342,2024-06-03,Active
SUB_00242,User_242,Fujairah,4,Prepaid,Standard,417,2024-08-28,Active
SUB_00243,User_243,Ajman,8,Postpaid,Standard,350,2023-04-07,Active
SUB_00244,User_244,Abu Dhabi,2,Prepaid,Basic,422,2024-05-04,Active
SUB_00245,User_245,Dubai,5,Prepaid,Premium,211,2023-01-07,Active
SUB_00246,User_246,Ajman,1,Prepaid,Basic,179,2023-01-12,Active
SUB_00247,User_247,Abu Dhabi,8,Prepaid,Basic,93,2024-05-28,Churned
SUB_00248,User_248,Fujairah,2,Postpaid,Premium,402,2023-12-15,Active
SUB_00249,User_249,Fujairah,1,Prepaid,Basic,132,2023-01-07,Churned
SUB_00250,User_250,Ajman,8,Postpaid,Standard,429,2024-05-14,Active
SUB_00251,User_251,Dubai,5,Prepaid,Basic,173,2024-04-19,Active
SUB_00252,User_252,Abu Dhabi,2,Postpaid,Basic,76,2024-06-07,Active
SUB_00253,User_253,Ajman,6,Prepaid,Basic,353,2023-02-26,Active
SUB_00254,User_254,Dubai,6,Prepaid,Basic,399,2024-08-12,Active
SUB_00255,User_255,Dubai,5,Prepaid,Premium,56,2024-08-08,Active
SUB_00256,User_256,Abu Dhabi,3,Postpaid,Premium,460,2023-08-21,Active
SUB_00257,User_257,Ajman,5,Prepaid,Standard,390,2023-01-30,Active
SUB_00258,User_258,Sharjah,3,Postpaid,Premium,248,2024-01-02,Active
SUB_00259,User_259,Abu Dhabi,2,Postpaid,Basic,161,2024-08-29,Suspended
SUB_00260,User_260,Dubai,8,Prepaid,Standard,138,2023-02-25,Active
SUB_00261,User_261,Abu Dhabi,3,Postpaid,Basic,177,2023-01-10,Active
SUB_00262,User_262,Fujairah,2,Prepaid,Standard,279,2023-05-27,Active
SUB_00263,User_263,Dubai,2,Prepaid,Standard,67,2023-12-30,Active
SUB_00264,User_264,Abu Dhabi,7,Postpaid,Standard,338,2024-08-21,Active
SUB_00265,User_265,Ajman,4,Postpaid,Premium,210,2023-09-10,Active
SUB_00266,User_266,Sharjah,2,Postpaid,Standard,401,2024-11-29,Active
SUB_00267,User_267,Sharjah,3,Prepaid,Standard,427,2023-09-10,Active
SUB_00268,User_268,Sharjah,4,Prepaid,Unlimited,330,2024-03-18,Active
SUB_00269,User_269,Abu Dhabi,4,Prepaid,Basic,447,2023-12-06,Active
SUB_00270,User_270,Dubai,2,Postpaid,Standard,471,2024-05-30,Active
SUB_00271,User_271,Sharjah,5,Prepaid,Premium,215,2023-12-19,Active
SUB_00272,User_272,Sharjah,5,Postpaid,Standard,309,2024-09-15,Active
SUB_00273,User_273,Ajman,6,Prepaid,Basic,413,2024-12-05,Active
SUB_00274,User_274,Ajman,4,Prepaid,Standard,239,2024-10-14,Active
SUB_00275,User_275,Abu Dhabi,2,Prepaid,Standard,387,2023-11-19,Active
SUB_00276,User_276,Abu Dhabi,7,Prepaid,Standard,315,2023-05-20,Suspended
SUB_00277,User_277,Sharjah,5,Prepaid,Basic,340,2024-03-20,Active
SUB_00278,User_278,Abu Dhabi,7,Postpaid,Unlimited,404,2023-04-05,Churned
SUB_00279,User_279,Sharjah,2,Postpaid,Premium,409,2024-07-06,Churned
SUB_00280,User_280,Sharjah,2,Prepaid,Standard,328,2024-02-24,Active
SUB_00281,User_281,Ajman,8,Prepaid,Premium,266,2024-05-28,Active
SUB_00282,User_282,Dubai,4,Prepaid,Premium,370,2023-05-30,Active
SUB_00283,User_283,Abu Dhabi,8,Postpaid,Basic,387,2024-07-06,Active
SUB_00284,User_284,Dubai,7,Prepaid,Basic,256,2023-12-17,Suspended
SUB_00285,User_285,Abu Dhabi,8,Postpaid,Standard,202,2023-04-26,Active
SUB_00286,User_286,Dubai,6,Prepaid,Premium,230,2024-09-23,Churned
SUB_00287,User_287,Abu Dhabi,4,Prepaid,Basic,261,2023-08-25,Active
SUB_00288,User_288,Abu Dhabi,1,Postpaid,Unlimited,322,2023-09-27,Active
SUB_00289,User_289,Dubai,8,Prepaid,Standard,490,2023-10-18,Active
SUB_00290,User_290,Abu Dhabi,7,Prepaid,Standard,252,2024-03-09,Active
SUB_00291,User_291,Dubai,5,Prepaid,Basic,254,2023-01-09,Active
SUB_00292,User_292,Dubai,5,Prepaid,Basic,453,2024-09-21,Active
SUB_00293,User_293,Sharjah,5,Prepaid,Premium,433,2024-04-19,Suspended
SUB_00294,User_294,Abu Dhabi,3,Postpaid,Unlimited,202,2024-06-05,Active
SUB_00295,User_295,Dubai,2,Postpaid,Standard,219,2024-06-20,Suspended
SUB_00296,User_296,Abu Dhabi,4,Prepaid,Unlimited,478,2024-11-15,Suspended
SUB_00297,User_297,Sharjah,5,Postpaid,Premium,290,2023-01-11,Active
SUB_00298,User_298,Dubai,1,Prepaid,Standard,336,2024-09-04,Active
SUB_00299,User_299,Abu Dhabi,5,Prepaid,Premium,294,2023-11-23,Active
SUB_00300,User_300,Dubai,6,Prepaid,Standard,370,2024-08-17,Active
SUB_00301,User_301,Dubai,2,Prepaid,Standard,485,2023-10-03,Active
SUB_00302,User_302,Abu Dhabi,7,Prepaid,Basic,129,2024-01-05,Active
SUB_00303,User_303,Abu Dhabi,2,Postpaid,Premium,141,2024-05-04,Churned
SUB_00304,User_304,Abu Dhabi,8,Prepaid,Basic,198,2023-12-11,Active
SUB_00305,User_305,Sharjah,7,Prepaid,Premium,79,2024-01-03,Active
SUB_00306,User_306,Fujairah,7,Prepaid,Premium,172,2023-11-07,Active
SUB_00307,User_307,Abu Dhabi,8,Postpaid,Basic,436,2024-08-23,Active
SUB_00308,User_308,Dubai,4,Postpaid,Standard,375,2024-04-29,Active
SUB_00309,User_309,Sharjah,8,Prepaid,Standard,476,2023-01-15,Active
SUB_00310,User_310,Dubai,3,Prepaid,Standard,78,2024-11-18,Active
SUB_00311,User_311,Abu Dhabi,7,Prepaid,Basic,308,2023-01-04,Active
SUB_00312,User_312,Dubai,7,Prepaid,Standard,235,2024-01-11,Churned
SUB_00313,User_313,Dubai,8,Prepaid,Basic,466,2024-01-04,Active
SUB_00314,User_314,Fujairah,4,Prepaid,Basic,124,2024-04-09,Active
SUB_00315,User_315,Sharjah,5,Prepaid,Basic,94,2024-06-16,Active
SUB_00316,User_316,Sharjah,6,Prepaid,Basic,118,2024-12-20,Active
SUB_00317,User_317,Abu Dhabi,1,Prepaid,Premium,465,2023-05-17,Churned
SUB_00318,User_318,Dubai,4,Postpaid,Unlimited,416,2023-12-29,Active
SUB_00319,User_319,Dubai,3,Postpaid,Standard,259,2023-08-04,Active
SUB_00320,User_320,Dubai,4,Prepaid,Standard,288,2024-01-03,Churned
SUB_00321,User_321,Abu Dhabi,2,Prepaid,Basic,389,2023-04-27,Active
SUB_00322,User_322,Sharjah,5,Prepaid,Standard,357,2023-06-28,Active
SUB_00323,User_323,Sharjah,5,Prepaid,Basic,241,2023-09-03,Active
SUB_00324,User_324,Dubai,7,Postpaid,Standard,421,2023-05-08,Active
SUB_00325,User_325,Fujairah,5,Prepaid,Unlimited,152,2023-12-24,Active
SUB_00326,User_326,Sharjah,5,Postpaid,Basic,290,2023-03-19,Active
SUB_00327,User_327,Abu Dhabi,8,Postpaid,Premium,302,2023-10-20,Active
SUB_00328,User_328,Abu Dhabi,5,Prepaid,Basic,473,2023-03-23,Active
SUB_00329,User_329,Abu Dhabi,5,Prepaid,Standard,269,2023-12-08,Suspended
SUB_00330,User_330,Dubai,1,Prepaid,Basic,446,2023-12-04,Active
SUB_00331,User_331,Abu Dhabi,3,Prepaid,Standard,385,2024-07-31,Active
SUB_00332,User_332,Sharjah,7,Prepaid,Basic,266,2023-04-06,Suspended
SUB_00333,User_333,Dubai,8,Prepaid,Standard,251,2023-05-25,Active
