ticket_id,subscriber_id,ticket_date,ticket_channel,ticket_category,priority,status,resolution_date,sla_target_hours,assigned_team
TIC_84,SUB_02261,2025-09-04,App,Plan Change,High,In Progress,,72,Field Ops
TIC_85,SUB_03786,2025-10-23,Online Chat,Billing Query,Low,Resolved,1761325200000000000,48,Tier 1
TIC_86,SUB_00377,2025-09-24,App,Plan Change,Medium,Resolved,1758686400000000000,72,Tier 2
TIC_87,SUB_01495,2025-10-18,App,Plan Change,Medium,Resolved,1760878800000000000,24,Tier 3
TIC_88,SUB_03374,2025-12-14,Call Center,Billing Query,Low,Resolved,1765792800000000000,72,Tier 1
TIC_89,SUB_00591,2025-09-26,App,Complaint,Low,Resolved,1758981600000000000,48,Tier 3
TIC_90,SUB_01801,2025-11-21,App,Network Issue,Medium,Resolved,1763733600000000000,24,Tier 1
TIC_91,SUB_03419,2025-10-16,App,Complaint,Low,In Progress,,24,Tier 3
TIC_92,SUB_02368,2025-09-20,App,Billing Query,Medium,Escalated,,24,Tier 3
TIC_93,SUB_03706,2025-10-24,Call Center,Billing Query,Medium,Resolved,1761433200000000000,72,Tier 1
TIC_94,SUB_04540,2025-11-09,App,Complaint,Medium,Resolved,1762977600000000000,24,Tier 1
TIC_95,SUB_03868,2025-10-29,Call Center,Billing Query,High,Resolved,1761861600000000000,72,Tier 2
TIC_96,SUB_02297,2025-09-23,Call Center,Network Issue,Medium,Resolved,1758866400000000000,48,Tier 2
TIC_97,SUB_01842,2025-11-16,Call Center,Plan Change,Low,Resolved,1763388000000000000,24,Tier 1
TIC_98,SUB_04361,2025-12-07,Call Center,Network Issue,High,Resolved,1765126800000000000,72,Tier 1
TIC_99,SUB_00757,2025-10-25,Retail Store,Billing Query,Medium,Open,,48,Tier 2
TIC_100,SUB_00498,2025-11-15,Retail Store,Billing Query,High,Open,,24,Tier 1
TIC_101,SUB_00631,2025-09-04,Retail Store,Billing Query,Low,Open,,72,Tier 3
TIC_102,SUB_03066,2025-12-03,Call Center,Technical Support,Low,Resolved,1765036800000000000,24,Tier 1
TIC_103,SUB_01643,2025-12-08,Call Center,Billing Query,Low,Resolved,1765476000000000000,72,Field Ops
TIC_104,SUB_02016,2025-09-17,Online Chat,Technical Support,Low,Resolved,1758114000000000000,24,Tier 1
TIC_105,SUB_03264,2025-10-08,Call Center,Plan Change,Medium,Open,,72,Tier 2
TIC_106,SUB_04601,2025-11-04,App,Technical Support,Medium,Open,,24,Field Ops
TIC_107,SUB_04408,2025-09-18,App,Billing Query,Low,Resolved,1758369600000000000,48,Field Ops
TIC_108,SUB_01351,2025-10-18,Call Center,Billing Query,Low,Resolved,1761026400000000000,72,Tier 1
TIC_109,SUB_03973,2025-12-05,App,Network Issue,Low,Resolved,1765231200000000000,72,Tier 1
TIC_110,SUB_01490,2025-09-11,Retail Store,Complaint,High,Resolved,1757664000000000000,48,Field Ops
TIC_111,SUB_02632,2025-11-14,App,Network Issue,Low,Resolved,1763330400000000000,72,Tier 2
TIC_112,SUB_04786,2025-09-22,Call Center,Network Issue,Medium,Resolved,1758596400000000000,72,Tier 2
TIC_113,SUB_01223,2025-11-21,Call Center,Complaint,High,In Progress,,72,Tier 2
TIC_114,SUB_02136,2025-10-19,App,Billing Query,Low,Resolved,1761130800000000000,24,Field Ops
TIC_115,SUB_01366,2025-12-21,Online Chat,Billing Query,High,Resolved,1766340000000000000,48,Tier 3
TIC_116,SUB_00916,2025-11-19,App,Network Issue,Low,Resolved,1763820000000000000,24,Tier 3
TIC_117,SUB_03462,2025-10-20,App,Network Issue,Medium,Resolved,1761030000000000000,72,Field Ops
TIC_118,SUB_00128,2025-09-17,App,Plan Change,Low,Resolved,1758330000000000000,72,Field Ops
TIC_119,SUB_00136,2025-12-29,App,Billing Query,Medium,Resolved,1766980800000000000,48,Tier 1
TIC_120,SUB_04352,2025-11-13,Online Chat,Billing Query,Low,Resolved,1763006400000000000,24,Field Ops
TIC_121,SUB_02681,2025-11-13,App,Network Issue,High,In Progress,,72,Tier 2
TIC_122,SUB_00298,2025-11-18,Call Center,Billing Query,Medium,Resolved,1763690400000000000,72,Tier 1
TIC_123,SUB_03804,2025-12-26,Call Center,Plan Change,High,Resolved,1766818800000000000,24,Tier 3
TIC_124,SUB_04884,2025-11-14,Retail Store,Network Issue,Medium,Resolved,1763096400000000000,72,Tier 3
TIC_125,SUB_03165,2025-10-04,App,Plan Change,High,Resolved,1759723200000000000,48,Tier 1
TIC_126,SUB_04995,2025-10-22,App,Plan Change,High,Resolved,1761350400000000000,72,Tier 3
TIC_127,SUB_00128,2025-12-05,Call Center,Plan Change,Medium,Open,,48,Tier 2
TIC_128,SUB_00325,2025-11-12,App,Technical Support,Medium,Resolved,1762941600000000000,24,Tier 2
TIC_129,SUB_03596,2025-10-07,App,Technical Support,Medium,Resolved,1759834800000000000,48,Tier 3
TIC_130,SUB_01265,2025-10-10,Call Center,Plan Change,Low,Resolved,1760220000000000000,72,Tier 2
TIC_131,SUB_02487,2025-09-29,Call Center,Complaint,Medium,Resolved,1759291200000000000,48,Tier 2
TIC_132,SUB_00817,2025-10-07,App,Billing Query,Critical,Resolved,1760137200000000000,24,Tier 1
TIC_133,SUB_03570,2025-12-09,Call Center,Complaint,High,Open,,72,Tier 3
TIC_134,SUB_02256,2025-10-17,App,Network Issue,Low,Resolved,1760760000000000000,24,Field Ops
TIC_135,SUB_00460,2025-10-27,Call Center,Billing Query,High,Resolved,1761764400000000000,48,Tier 2
TIC_136,SUB_04941,2025-12-03,Call Center,Complaint,Low,Resolved,1764813600000000000,48,Tier 1
TIC_137,SUB_03064,2025-09-30,Online Chat,Complaint,Low,Resolved,1759413600000000000,72,Field Ops
TIC_138,SUB_04327,2025-12-18,Call Center,Network Issue,Low,Resolved,1766336400000000000,48,Tier 1
TIC_139,SUB_01831,2025-10-20,Call Center,Plan Change,Medium,Resolved,1761019200000000000,24,Tier 2
TIC_140,SUB_04624,2025-09-14,App,Network Issue,Low,Resolved,1757822400000000000,24,Field Ops
TIC_141,SUB_02053,2025-09-17,Call Center,Plan Change,Low,Resolved,1758196800000000000,24,Tier 3
TIC_142,SUB_01658,2025-10-03,Online Chat,Billing Query,Low,Resolved,1759510800000000000,72,Field Ops
TIC_143,SUB_04267,2025-12-03,Call Center,Network Issue,Low,Resolved,1764734400000000000,24,Tier 2
TIC_144,SUB_02541,2025-12-27,App,Billing Query,Low,Resolved,1766995200000000000,72,Tier 2
TIC_145,SUB_01081,2025-10-07,Retail Store,Technical Support,Medium,Resolved,1760004000000000000,48,Tier 1
TIC_146,SUB_03169,2025-11-03,App,Technical Support,Low,Resolved,1762225200000000000,72,Tier 1
TIC_147,SUB_00788,2025-09-30,Online Chat,Complaint,Medium,Resolved,1759244400000000000,72,Tier 1
TIC_148,SUB_00742,2025-10-16,Call Center,Technical Support,High,Open,,72,Tier 1
TIC_149,SUB_01712,2025-12-14,Online Chat,Technical Support,Low,Resolved,1765764000000000000,48,Field Ops
TIC_150,SUB_00514,2025-10-22,App,Network Issue,Low,Resolved,1761346800000000000,24,Field Ops
TIC_151,SUB_02188,2025-10-16,App,Complaint,Low,Resolved,1760706000000000000,72,Tier 2
TIC_152,SUB_00423,2025-11-01,Call Center,Network Issue,Medium,Resolved,1762063200000000000,72,Tier 3
TIC_153,SUB_02613,2025-09-14,Call Center,Network Issue,Low,Resolved,1758146400000000000,48,Tier 2
TIC_154,SUB_04770,2025-09-11,Retail Store,Network Issue,Medium,Open,,24,Tier 1
TIC_155,SUB_03689,2025-11-14,Call Center,Technical Support,Medium,Resolved,1763323200000000000,72,Tier 3
TIC_156,SUB_04258,2025-09-23,Call Center,Complaint,Medium,Resolved,1758787200000000000,72,Tier 1
TIC_157,SUB_00017,2025-10-08,App,Plan Change,Low,In Progress,,72,Tier 2
TIC_158,SUB_04126,2025-10-01,Online Chat,Network Issue,Medium,Escalated,,24,Tier 2
TIC_159,SUB_00855,2025-11-18,Call Center,Complaint,High,Resolved,1763658000000000000,72,Tier 1
TIC_160,SUB_02256,2025-09-04,App,Complaint,Low,Resolved,1757210400000000000,48,Tier 1
TIC_161,SUB_02330,2025-11-24,App,Technical Support,Low,Open,,72,Tier 3
TIC_162,SUB_03504,2025-09-06,Call Center,Technical Support,Critical,Resolved,1757415600000000000,24,Tier 3
TIC_163,SUB_01647,2025-12-29,App,Plan Change,High,Resolved,1767308400000000000,24,Tier 1
TIC_164,SUB_03368,2025-09-05,Retail Store,Billing Query,Low,Resolved,1757224800000000000,48,Field Ops
TIC_165,SUB_01695,2025-12-04,Retail Store,Complaint,Low,Resolved,1764982800000000000,48,Field Ops
TIC_166,SUB_00814,2025-11-08,Online Chat,Plan Change,Medium,Escalated,,24,Field Ops
TIC_167,SUB_01957,2025-11-17,Online Chat,Plan Change,Medium,Resolved,1763550000000000000,24,Tier 2
TIC_168,SUB_01782,2025-10-07,App,Network Issue,Low,Open,,24,Tier 3
TIC_169,SUB_00356,2025-11-19,Call Center,Billing Query,Low,Resolved,1763679600000000000,72,Tier 2
TIC_170,SUB_02961,2025-09-16,App,Billing Query,High,Open,,48,Tier 1
TIC_171,SUB_04072,2025-11-29,App,Complaint,High,Resolved,1764518400000000000,72,Field Ops
TIC_172,SUB_03819,2025-09-09,App,Billing Query,Low,Resolved,1757696400000000000,24,Tier 3
TIC_173,SUB_02685,2025-12-19,App,Network Issue,High,Open,,48,Tier 3
TIC_174,SUB_03550,2025-11-21,Call Center,Plan Change,Medium,Resolved,1763967600000000000,24,Tier 1
TIC_175,SUB_03140,2025-11-05,App,Complaint,Low,Resolved,1762567200000000000,48,Tier 1
TIC_176,SUB_04306,2025-09-14,Call Center,Plan Change,Low,Resolved,1758142800000000000,48,Tier 3
TIC_177,SUB_00667,2025-09-22,App,Plan Change,High,In Progress,,48,Tier 2
TIC_178,SUB_04575,2025-12-27,Online Chat,Complaint,Low,Resolved,1767056400000000000,72,Tier 1
TIC_179,SUB_01017,2025-09-23,Call Center,Network Issue,Low,Resolved,1758924000000000000,72,Tier 1
TIC_180,SUB_04584,2025-09-19,Call Center,Network Issue,Critical,Resolved,1758348000000000000,24,Tier 3
TIC_181,SUB_02188,2025-12-24,Call Center,Billing Query,Low,Resolved,1766649600000000000,48,Field Ops
TIC_182,SUB_03228,2025-10-27,Call Center,Complaint,High,Resolved,1761656400000000000,48,Field Ops
TIC_183,SUB_03696,2025-11-18,Call Center,Complaint,Medium,Resolved,1763654400000000000,48,Field Ops
TIC_184,SUB_03172,2025-11-19,App,Plan Change,Low,Open,,72,Tier 2
TIC_185,SUB_00282,2025-09-18,App,Plan Change,Low,Resolved,1758420000000000000,24,Tier 3
TIC_186,SUB_04337,2025-10-12,Online Chat,Billing Query,Medium,Resolved,1760443200000000000,24,Tier 2
TIC_187,SUB_00525,2025-12-28,Retail Store,Billing Query,Low,Resolved,1767153600000000000,24,Tier 3
TIC_188,SUB_01515,2025-12-13,App,Plan Change,Medium,Escalated,,48,Field Ops
TIC_189,SUB_04393,2025-11-28,App,Network Issue,Medium,Open,,72,Tier 1
TIC_190,SUB_03360,2025-10-31,Call Center,Network Issue,High,Resolved,1762178400000000000,72,Field Ops
TIC_191,SUB_01509,2025-10-12,App,Complaint,High,Resolved,1760479200000000000,48,Tier 1
TIC_192,SUB_04728,2025-10-04,Retail Store,Network Issue,High,Resolved,1759662000000000000,72,Tier 1
TIC_193,SUB_04718,2025-12-27,Call Center,Complaint,Medium,Resolved,1767063600000000000,72,Tier 2
TIC_194,SUB_03427,2025-09-07,Call Center,Technical Support,Medium,Resolved,1757451600000000000,72,Tier 1
TIC_195,SUB_01616,2025-10-12,Call Center,Plan Change,Low,In Progress,,72,Tier 3
TIC_196,SUB_02051,2025-12-21,App,Billing Query,High,Escalated,,48,Field Ops
TIC_197,SUB_00510,2025-11-04,Online Chat,Technical Support,Low,Resolved,1762264800000000000,72,Tier 3
TIC_198,SUB_02655,2025-12-16,App,Plan Change,Low,Resolved,1766185200000000000,48,Field Ops
TIC_199,SUB_00322,2025-10-13,Online Chat,Billing Query,High,Escalated,,48,Tier 1
TIC_200,SUB_02134,2025-10-23,Call Center,Technical Support,High,Resolved,1761372000000000000,48,Tier 1
TIC_201,SUB_03576,2025-09-21,Call Center,Complaint,Medium,Resolved,1758571200000000000,24,Tier 1
TIC_202,SUB_01179,2025-09-20,Online Chat,Billing Query,Medium,Resolved,1758470400000000000,48,Tier 3
TIC_203,SUB_00464,2025-09-04,App,Complaint,Low,Resolved,1757052000000000000,72,Field Ops
TIC_204,SUB_04078,2025-10-11,App,Network Issue,High,Resolved,1760266800000000000,72,Field Ops
TIC_205,SUB_03146,2025-09-13,Call Center,Complaint,Medium,Resolved,1757847600000000000,24,Tier 1
TIC_206,SUB_04200,2025-09-05,Call Center,Plan Change,High,Resolved,1757300400000000000,48,Tier 3
TIC_207,SUB_03891,2025-12-29,Call Center,Plan Change,Low,Open,,24,Tier 1
TIC_208,SUB_00955,2025-12-14,Online Chat,Plan Change,Low,Escalated,,72,Tier 1
TIC_209,SUB_00059,2025-09-07,Call Center,Billing Query,Critical,Resolved,1757494800000000000,72,Tier 1
TIC_210,SUB_04175,2025-09-13,Call Center,Plan Change,High,Open,,24,Tier 3
TIC_211,SUB_02200,2025-12-25,Call Center,Plan Change,Low,Open,,72,Tier 1
TIC_212,SUB_00141,2025-10-18,Call Center,Billing Query,Medium,Resolved,1761051600000000000,72,Field Ops
TIC_213,SUB_03654,2025-11-15,App,Plan Change,High,Resolved,1763186400000000000,72,Tier 3
TIC_214,SUB_00966,2025-12-17,App,Technical Support,High,In Progress,,24,Tier 3
TIC_215,SUB_00096,2025-09-22,Call Center,Plan Change,High,In Progress,,24,Tier 2
TIC_216,SUB_00213,2025-10-31,Call Center,Technical Support,Low,Escalated,,24,Tier 1
TIC_217,SUB_03861,2025-10-15,Online Chat,Plan Change,High,Resolved,1760637600000000000,48,Field Ops
TIC_218,SUB_03126,2025-12-09,Call Center,Network Issue,High,Resolved,1765472400000000000,48,Tier 2
TIC_219,SUB_04822,2025-11-26,Call Center,Technical Support,Low,Escalated,,24,Tier 2
TIC_220,SUB_03259,2025-12-15,Call Center,Billing Query,Medium,Resolved,1765958400000000000,72,Field Ops
TIC_221,SUB_04802,2025-12-10,Online Chat,Complaint,Medium,Open,,24,Tier 1
TIC_222,SUB_04065,2025-12-08,Online Chat,Network Issue,Medium,Resolved,1765346400000000000,72,Field Ops
TIC_223,SUB_02817,2025-12-05,Call Center,Billing Query,Medium,Resolved,1765213200000000000,72,Tier 3
TIC_224,SUB_01204,2025-12-15,Call Center,Network Issue,Low,Resolved,1766073600000000000,48,Field Ops
TIC_225,SUB_00277,2025-12-09,Call Center,Plan Change,Low,In Progress,,24,Tier 3
TIC_226,SUB_01212,2025-10-22,App,Billing Query,Low,Resolved,1761217200000000000,48,Field Ops
TIC_227,SUB_02684,2025-12-31,App,Complaint,High,Open,,24,Tier 3
TIC_228,SUB_00074,2025-11-12,Online Chat,Network Issue,Low,Resolved,1763204400000000000,24,Tier 1
TIC_229,SUB_00140,2025-10-30,Online Chat,Complaint,Medium,In Progress,,48,Tier 3
TIC_230,SUB_00471,2025-11-12,Retail Store,Network Issue,Medium,Open,,24,Tier 3
TIC_231,SUB_02164,2025-10-02,Online Chat,Complaint,High,Open,,72,Tier 1
TIC_232,SUB_01996,2025-09-07,Retail Store,Complaint,Low,Open,,24,Field Ops
TIC_233,SUB_04048,2025-09-25,Online Chat,Billing Query,Medium,Resolved,1758870000000000000,24,Field Ops
TIC_234,SUB_00439,2025-11-25,App,Plan Change,High,Resolved,1764050400000000000,48,Tier 2
TIC_235,SUB_02626,2025-09-14,Call Center,Plan Change,Low,Resolved,1758121200000000000,48,Tier 3
TIC_236,SUB_02694,2025-12-17,Call Center,Complaint,Medium,Resolved,1766178000000000000,72,Field Ops
TIC_237,SUB_04862,2025-09-13,Call Center,Plan Change,Low,Resolved,1757790000000000000,24,Field Ops
TIC_238,SUB_01430,2025-11-06,Retail Store,Technical Support,Medium,Resolved,1762430400000000000,72,Tier 2
TIC_239,SUB_00495,2025-10-11,Call Center,Technical Support,Low,Resolved,1760328000000000000,72,Tier 3
TIC_240,SUB_02121,2025-11-06,Online Chat,Complaint,Low,Escalated,,72,Tier 3
TIC_241,SUB_00161,2025-10-25,Call Center,Complaint,Low,In Progress,,48,Tier 1
TIC_242,SUB_03841,2025-12-03,Call Center,Technical Support,High,In Progress,,24,Tier 1
TIC_243,SUB_00634,2025-10-06,Online Chat,Technical Support,Low,Resolved,1759975200000000000,72,Tier 2
TIC_244,SUB_02369,2025-11-19,App,Technical Support,Low,Resolved,1763791200000000000,24,Tier 2
TIC_245,SUB_02375,2025-10-07,Call Center,Billing Query,Medium,Resolved,1760133600000000000,72,Tier 1
TIC_246,SUB_04005,2025-12-12,App,Network Issue,Low,Open,,48,Tier 1
TIC_247,SUB_03391,2025-10-07,Call Center,Billing Query,High,Resolved,1760043600000000000,72,Tier 2
TIC_248,SUB_03636,2025-12-20,Call Center,Technical Support,Medium,Resolved,1766336400000000000,24,Field Ops
TIC_249,SUB_03020,2025-09-14,Call Center,Network Issue,Medium,Resolved,1758038400000000000,48,Tier 1
TIC_250,SUB_01184,2025-09-24,Call Center,Plan Change,High,Open,,72,Field Ops
TIC_251,SUB_00436,2025-10-03,Call Center,Technical Support,Medium,Resolved,1759770000000000000,72,Tier 1
TIC_252,SUB_02589,2025-12-18,Call Center,Technical Support,Low,Resolved,1766332800000000000,24,Tier 1
TIC_253,SUB_04910,2025-11-01,Retail Store,Plan Change,High,Resolved,1762070400000000000,48,Tier 3
TIC_254,SUB_01491,2025-09-15,Call Center,Network Issue,High,Resolved,1758045600000000000,48,Tier 3
TIC_255,SUB_03009,2025-10-09,App,Technical Support,High,Open,,24,Tier 1
TIC_256,SUB_04025,2025-09-23,Online Chat,Network Issue,Low,Resolved,1758812400000000000,48,Tier 3
TIC_257,SUB_04636,2025-10-17,Call Center,Billing Query,Medium,Resolved,1760871600000000000,48,Tier 3
TIC_258,SUB_00402,2025-11-01,Call Center,Complaint,Low,In Progress,,24,Tier 3
TIC_259,SUB_03310,2025-12-23,Call Center,Billing Query,Medium,Resolved,1766775600000000000,24,Field Ops
TIC_260,SUB_01727,2025-09-26,Retail Store,Complaint,High,Resolved,1759179600000000000,24,Tier 1
TIC_261,SUB_04637,2025-10-05,App,Technical Support,Medium,Resolved,1759820400000000000,48,Tier 2
TIC_262,SUB_00671,2025-10-20,Retail Store,Billing Query,Medium,In Progress,,72,Tier 2
TIC_263,SUB_00863,2025-12-08,App,Billing Query,Low,Resolved,1765368000000000000,72,Field Ops
TIC_264,SUB_00492,2025-09-29,Retail Store,Plan Change,Low,Resolved,1759276800000000000,72,Tier 2
TIC_265,SUB_02134,2025-10-24,App,Complaint,Medium,Open,,48,Tier 1
