bill_id,subscriber_id,billing_month,bill_amount,payment_status,payment_date,credit_adjustment,adjustment_reason
BILL_86,SUB_00029,2026-01-01,268.4348729512778,Paid,2026-01-06,0,
BILL_87,SUB_00030,2025-11-01,266.4430573022153,Paid,2026-01-17,0,
BILL_88,SUB_00030,2025-12-01,342.7361805474524,Paid,2026-01-12,0,
BILL_89,SUB_00030,2026-01-01,326.4778516025312,Paid,2026-01-20,50,Billing Error
BILL_90,SUB_00031,2025-11-01,319.99938983409777,Paid,2026-01-07,0,Service Issue
BILL_91,SUB_00031,2025-12-01,230.45868116548667,Overdue,2026-01-08,20,Promo
BILL_92,SUB_00031,2026-01-01,236.07568647787676,Paid,2026-01-12,0,
BILL_93,SUB_00032,2025-11-01,157.29687924725508,Overdue,2026-01-19,20,Billing Error
BILL_94,SUB_00032,2025-12-01,197.0649186177939,Paid,2026-01-19,20,Service Issue
BILL_95,SUB_00032,2026-01-01,197.82314113574088,Paid,2026-01-09,0,
BILL_96,SUB_00033,2025-11-01,411.50445233266464,Paid,2026-01-11,0,
BILL_97,SUB_00033,2025-12-01,349.4126576558118,Overdue,2026-01-18,0,
BILL_98,SUB_00033,2026-01-01,292.8357461887029,Overdue,2026-01-10,50,Service Issue
BILL_99,SUB_00034,2025-11-01,348.2218336957085,Paid,2026-01-14,20,
BILL_100,SUB_00034,2025-12-01,316.4723197432921,Paid,2026-01-09,10,Service Issue
BILL_101,SUB_00034,2026-01-01,437.6102091602366,Paid,2026-01-18,20,
BILL_102,SUB_00035,2025-11-01,111.49773770047868,Paid,2026-01-17,50,Promo
BILL_103,SUB_00035,2025-12-01,118.71844048485178,Paid,2026-01-17,0,
BILL_104,SUB_00035,2026-01-01,95.52290018250254,Paid,2026-01-09,0,
BILL_105,SUB_00036,2025-11-01,257.6624727012432,Paid,2026-01-11,20,
BILL_106,SUB_00036,2025-12-01,285.1515328781715,Paid,2026-01-13,0,Billing Error
BILL_107,SUB_00036,2026-01-01,330.1993075138366,Paid,2026-01-19,50,Service Issue
BILL_108,SUB_00037,2025-11-01,186.01001833091183,Paid,2026-01-10,0,
BILL_109,SUB_00037,2025-12-01,132.10473303236589,Paid,2026-01-05,0,
BILL_110,SUB_00037,2026-01-01,133.23478566609467,Paid,2026-01-06,50,
BILL_111,SUB_00038,2025-11-01,102.66684144059984,Partial,2026-01-17,0,Promo
BILL_112,SUB_00038,2025-12-01,101.35386809081888,Paid,2026-01-02,20,Service Issue
BILL_113,SUB_00038,2026-01-01,85.51924150184966,Paid,2026-01-19,20,Promo
BILL_114,SUB_00039,2025-11-01,147.4087870491608,Paid,2026-01-19,0,Service Issue
BILL_115,SUB_00039,2025-12-01,111.54800678701908,Paid,2026-01-20,0,
BILL_116,SUB_00039,2026-01-01,153.30887266630222,Paid,2026-01-10,0,Billing Error
BILL_117,SUB_00040,2025-11-01,154.0722351232695,Paid,2026-01-02,50,
BILL_118,SUB_00040,2025-12-01,145.69466609061035,Partial,2026-01-04,50,
BILL_119,SUB_00040,2026-01-01,163.76654605316983,Overdue,2026-01-03,10,Service Issue
BILL_120,SUB_00041,2025-11-01,116.39315655003779,Partial,2026-01-03,50,
BILL_121,SUB_00041,2025-12-01,134.43327317191694,Paid,2026-01-18,50,
BILL_122,SUB_00041,2026-01-01,142.9402357881758,Paid,2026-01-07,20,
BILL_123,SUB_00042,2025-11-01,337.7689660416563,Paid,2026-01-06,0,Service Issue
BILL_124,SUB_00042,2025-12-01,360.77835419356853,Paid,2026-01-12,50,
BILL_125,SUB_00042,2026-01-01,320.6832217526379,Paid,2026-01-10,0,
BILL_126,SUB_00043,2025-11-01,97.34028466745472,Overdue,2026-01-05,20,Promo
BILL_127,SUB_00043,2025-12-01,142.75507796280715,Paid,2026-01-08,0,Promo
BILL_128,SUB_00043,2026-01-01,135.33184821791977,Paid,2026-01-14,50,
BILL_129,SUB_00044,2025-11-01,185.7783266379827,Paid,2026-01-17,0,Service Issue
BILL_130,SUB_00044,2025-12-01,219.44620509560758,Paid,2026-01-18,50,Service Issue
BILL_131,SUB_00044,2026-01-01,236.09770867843997,Paid,2026-01-03,0,
BILL_132,SUB_00045,2025-11-01,319.82676350360515,Paid,2026-01-06,20,Promo
BILL_133,SUB_00045,2025-12-01,376.38633725896466,Paid,2026-01-19,10,Service Issue
BILL_134,SUB_00045,2026-01-01,369.9126982451823,Overdue,2026-01-14,0,
BILL_135,SUB_00046,2025-11-01,334.77300258186125,Paid,2026-01-19,0,
BILL_136,SUB_00046,2025-12-01,324.6074828864619,Paid,2026-01-12,10,Promo
BILL_137,SUB_00046,2026-01-01,418.2586831061854,Paid,2026-01-15,0,Promo
BILL_138,SUB_00047,2025-11-01,358.60734728550347,Partial,2026-01-13,50,
BILL_139,SUB_00047,2025-12-01,346.47985842524236,Paid,2026-01-05,50,
BILL_140,SUB_00047,2026-01-01,422.7284176732446,Pending,2026-01-08,0,Service Issue
BILL_141,SUB_00048,2025-11-01,485.9257997032816,Paid,2026-01-14,0,Service Issue
BILL_142,SUB_00048,2025-12-01,404.2889341653143,Pending,2026-01-20,0,
BILL_143,SUB_00048,2026-01-01,510.1681587183292,Paid,2026-01-12,0,Service Issue
BILL_144,SUB_00049,2025-11-01,433.34592660966155,Paid,2026-01-08,0,
BILL_145,SUB_00049,2025-12-01,378.13719191283195,Paid,2026-01-16,50,Billing Error
BILL_146,SUB_00049,2026-01-01,391.311331609767,Pending,2026-01-20,0,
BILL_147,SUB_00050,2025-11-01,152.69574241211458,Overdue,2026-01-18,0,
BILL_148,SUB_00050,2025-12-01,123.84869464214755,Paid,2026-01-02,10,Billing Error
BILL_149,SUB_00050,2026-01-01,138.25060437861256,Paid,2026-01-13,0,
BILL_150,SUB_00051,2025-11-01,424.5693347612959,Paid,2026-01-20,0,
BILL_151,SUB_00051,2025-12-01,406.3197676813941,Paid,2026-01-06,0,Service Issue
BILL_152,SUB_00051,2026-01-01,417.3325353447189,Paid,2026-01-11,0,Promo
BILL_153,SUB_00052,2025-11-01,491.92825489891385,Paid,2026-01-12,20,
BILL_154,SUB_00052,2025-12-01,424.8907421402319,Paid,2026-01-17,20,
BILL_155,SUB_00052,2026-01-01,465.6516726487104,Overdue,2026-01-19,20,
BILL_156,SUB_00053,2025-11-01,301.81267106092344,Paid,2026-01-10,20,
BILL_157,SUB_00053,2025-12-01,331.3834788876368,Paid,2026-01-10,0,
BILL_158,SUB_00053,2026-01-01,316.3453850706095,Paid,2026-01-15,20,Promo
BILL_159,SUB_00054,2025-11-01,175.68518443146166,Paid,2026-01-07,10,
BILL_160,SUB_00054,2025-12-01,215.34654784832213,Paid,2026-01-13,0,Service Issue
BILL_161,SUB_00054,2026-01-01,152.60439576961213,Paid,2026-01-12,0,
BILL_162,SUB_00055,2025-11-01,192.43338453799325,Partial,2026-01-05,0,Billing Error
BILL_163,SUB_00055,2025-12-01,204.1624595947611,Paid,2026-01-07,0,Billing Error
BILL_164,SUB_00055,2026-01-01,194.33148511334576,Paid,2026-01-19,10,Billing Error
BILL_165,SUB_00056,2025-11-01,516.6869849714229,Paid,2026-01-07,0,Service Issue
BILL_166,SUB_00056,2025-12-01,401.38358353337503,Paid,2026-01-02,0,Service Issue
BILL_167,SUB_00056,2026-01-01,428.51955914500826,Paid,2026-01-11,0,Service Issue
BILL_168,SUB_00057,2025-11-01,99.98993956191515,Paid,2026-01-13,50,
BILL_169,SUB_00057,2025-12-01,116.9938757934582,Paid,2026-01-08,0,Promo
BILL_170,SUB_00057,2026-01-01,125.38770888053718,Overdue,2026-01-12,0,
BILL_171,SUB_00058,2025-11-01,467.9078240364707,Overdue,2026-01-02,50,
BILL_172,SUB_00058,2025-12-01,364.8439320394426,Paid,2026-01-17,0,
BILL_173,SUB_00058,2026-01-01,428.93584281134673,Paid,2026-01-05,0,
BILL_174,SUB_00059,2025-11-01,313.43549644121975,Paid,2026-01-07,0,Billing Error
BILL_175,SUB_00059,2025-12-01,356.7468781144818,Paid,2026-01-11,20,
BILL_176,SUB_00059,2026-01-01,433.24389792149367,Paid,2026-01-08,10,
BILL_177,SUB_00060,2025-11-01,284.9732227942274,Paid,2026-01-13,0,Service Issue
BILL_178,SUB_00060,2025-12-01,249.39319338399682,Paid,2026-01-20,20,Service Issue
BILL_179,SUB_00060,2026-01-01,282.87219225264425,Paid,2026-01-11,0,Promo
BILL_180,SUB_00061,2025-11-01,210.13194767418904,Overdue,2026-01-03,0,Promo
BILL_181,SUB_00061,2025-12-01,228.78910337179485,Partial,2026-01-10,0,Service Issue
BILL_182,SUB_00061,2026-01-01,237.83687999469385,Paid,2026-01-02,0,
BILL_183,SUB_00062,2025-11-01,365.591242306716,Paid,2026-01-11,50,
BILL_184,SUB_00062,2025-12-01,456.99236868750876,Paid,2026-01-02,20,
BILL_185,SUB_00062,2026-01-01,398.72971429977304,Partial,2026-01-03,20,Service Issue
BILL_186,SUB_00063,2025-11-01,375.2618329609904,Overdue,2026-01-06,0,Service Issue
BILL_187,SUB_00063,2025-12-01,364.4161682113366,Overdue,2026-01-18,0,Promo
BILL_188,SUB_00063,2026-01-01,351.27395282334646,Paid,2026-01-14,20,
BILL_189,SUB_00064,2025-11-01,280.65029530921026,Paid,2026-01-07,10,Promo
BILL_190,SUB_00064,2025-12-01,225.04433329705043,Paid,2026-01-11,50,
BILL_191,SUB_00064,2026-01-01,293.7537583020542,Overdue,2026-01-03,50,Service Issue
BILL_192,SUB_00065,2025-11-01,318.5254476459377,Overdue,2026-01-06,0,
BILL_193,SUB_00065,2025-12-01,286.3214449515383,Paid,2026-01-20,50,Billing Error
BILL_194,SUB_00065,2026-01-01,330.5134708403529,Paid,2026-01-03,0,Service Issue
BILL_195,SUB_00066,2025-11-01,354.52771056791624,Overdue,2026-01-02,0,Billing Error
BILL_196,SUB_00066,2025-12-01,383.833442192952,Paid,2026-01-09,0,Service Issue
BILL_197,SUB_00066,2026-01-01,307.6839938894218,Partial,2026-01-16,10,
BILL_198,SUB_00067,2025-11-01,368.18633365248064,Paid,2026-01-07,20,
BILL_199,SUB_00067,2025-12-01,412.86018671104705,Paid,2026-01-05,10,Promo
BILL_200,SUB_00067,2026-01-01,337.96311600876214,Paid,2026-01-13,0,Promo
BILL_201,SUB_00068,2025-11-01,54.84178547125288,Paid,2026-01-17,10,
BILL_202,SUB_00068,2025-12-01,58.41617487955684,Paid,2026-01-03,50,Service Issue
BILL_203,SUB_00068,2026-01-01,74.21754444309474,Partial,2026-01-09,0,Promo
BILL_204,SUB_00069,2025-11-01,77.73815190462616,Pending,2026-01-07,10,Promo
BILL_205,SUB_00069,2025-12-01,83.85195819624415,Paid,2026-01-04,0,Promo
BILL_206,SUB_00069,2026-01-01,88.72705117801226,Paid,2026-01-02,0,Service Issue
BILL_207,SUB_00070,2025-11-01,292.6832393748666,Paid,2026-01-09,0,Promo
BILL_208,SUB_00070,2025-12-01,301.9969255595258,Paid,2026-01-13,10,Promo
BILL_209,SUB_00070,2026-01-01,249.37329983029858,Partial,2026-01-08,0,
BILL_210,SUB_00071,2025-11-01,127.83319650821328,Paid,2026-01-18,10,
BILL_211,SUB_00071,2025-12-01,94.2396165357981,Paid,2026-01-14,20,Service Issue
BILL_212,SUB_00071,2026-01-01,94.03875992668176,Partial,2026-01-19,10,
BILL_213,SUB_00072,2025-11-01,488.3959357315225,Paid,2026-01-17,10,
BILL_214,SUB_00072,2025-12-01,415.60303011229166,Overdue,2026-01-09,0,Promo
BILL_215,SUB_00072,2026-01-01,361.9863375346148,Paid,2026-01-13,10,Service Issue
BILL_216,SUB_00073,2025-11-01,287.6116868385349,Pending,2026-01-07,0,
BILL_217,SUB_00073,2025-12-01,321.73920956181837,Overdue,2026-01-03,0,
BILL_218,SUB_00073,2026-01-01,326.79199427763933,Partial,2026-01-08,0,
BILL_219,SUB_00074,2025-11-01,166.11021688565606,Pending,2026-01-05,0,
BILL_220,SUB_00074,2025-12-01,149.03511237907028,Paid,2026-01-17,10,Promo
BILL_221,SUB_00074,2026-01-01,166.28286883333706,Paid,2026-01-18,0,
BILL_222,SUB_00075,2025-11-01,328.3119513114657,Paid,2026-01-04,20,Service Issue
BILL_223,SUB_00075,2025-12-01,341.0034352327529,Overdue,2026-01-04,10,Promo
BILL_224,SUB_00075,2026-01-01,360.8405501371312,Paid,2026-01-15,50,Service Issue
BILL_225,SUB_00076,2025-11-01,461.80287973208084,Partial,2026-01-15,10,
BILL_226,SUB_00076,2025-12-01,394.8099151512227,Paid,2026-01-08,10,
BILL_227,SUB_00076,2026-01-01,447.4716743457056,Partial,2026-01-02,0,
BILL_228,SUB_00077,2025-11-01,219.3617365241423,Paid,2026-01-16,0,Service Issue
BILL_229,SUB_00077,2025-12-01,183.27898610186028,Paid,2026-01-15,10,
BILL_230,SUB_00077,2026-01-01,179.60501638856994,Paid,2026-01-05,50,
BILL_231,SUB_00078,2025-11-01,409.08556915511247,Paid,2026-01-05,0,
BILL_232,SUB_00078,2025-12-01,362.52868487036335,Paid,2026-01-12,0,Promo
BILL_233,SUB_00078,2026-01-01,489.42664501870644,Paid,2026-01-02,0,Promo
BILL_234,SUB_00079,2025-11-01,425.54201945228306,Paid,2026-01-12,10,Billing Error
BILL_235,SUB_00079,2025-12-01,400.2065139263354,Overdue,2026-01-13,0,Service Issue
BILL_236,SUB_00079,2026-01-01,508.51598196751115,Paid,2026-01-16,0,
BILL_237,SUB_00080,2025-11-01,376.4036688607313,Paid,2026-01-16,20,
BILL_238,SUB_00080,2025-12-01,267.4315288920995,Partial,2026-01-05,0,Promo
BILL_239,SUB_00080,2026-01-01,295.7286096461382,Overdue,2026-01-07,0,
BILL_240,SUB_00081,2025-11-01,303.947975926541,Paid,2026-01-03,0,Service Issue
BILL_241,SUB_00081,2025-12-01,246.1582268282624,Overdue,2026-01-10,0,Billing Error
BILL_242,SUB_00081,2026-01-01,303.2627009410153,Pending,2026-01-09,0,Promo
BILL_243,SUB_00082,2025-11-01,165.5626727933853,Partial,2026-01-20,0,Promo
BILL_244,SUB_00082,2025-12-01,161.47532386963664,Overdue,2026-01-09,20,
BILL_245,SUB_00082,2026-01-01,161.18709237379812,Paid,2026-01-11,0,
BILL_246,SUB_00083,2025-11-01,358.6593295930894,Paid,2026-01-18,10,
BILL_247,SUB_00083,2025-12-01,498.1863536235696,Paid,2026-01-20,0,
BILL_248,SUB_00083,2026-01-01,512.5316238928589,Paid,2026-01-02,20,
BILL_249,SUB_00084,2025-11-01,569.6292980419717,Paid,2026-01-16,20,Service Issue
BILL_250,SUB_00084,2025-12-01,549.8710253586984,Paid,2026-01-12,20,Billing Error
BILL_251,SUB_00084,2026-01-01,548.879988595108,Paid,2026-01-08,0,
BILL_252,SUB_00085,2025-11-01,155.40739128266887,Paid,2026-01-17,0,Service Issue
BILL_253,SUB_00085,2025-12-01,165.05088077791584,Paid,2026-01-04,20,Promo
BILL_254,SUB_00085,2026-01-01,128.967194077634,Paid,2026-01-13,50,Promo
BILL_255,SUB_00086,2025-11-01,255.98423397750017,Partial,2026-01-17,0,Service Issue
BILL_256,SUB_00086,2025-12-01,283.09765064119694,Paid,2026-01-20,50,Promo
BILL_257,SUB_00086,2026-01-01,308.17548685060314,Pending,2026-01-03,0,
BILL_258,SUB_00087,2025-11-01,466.1142498070109,Paid,2026-01-09,10,Service Issue
BILL_259,SUB_00087,2025-12-01,497.39664710015285,Paid,2026-01-20,50,Service Issue
BILL_260,SUB_00087,2026-01-01,433.43595517679694,Paid,2026-01-12,10,Promo
BILL_261,SUB_00088,2025-11-01,130.43057940984212,Paid,2026-01-12,10,Billing Error
BILL_262,SUB_00088,2025-12-01,143.03907870600415,Paid,2026-01-03,50,
BILL_263,SUB_00088,2026-01-01,103.36745074222839,Overdue,2026-01-06,0,Billing Error
BILL_264,SUB_00089,2025-11-01,563.1395412015772,Overdue,2026-01-06,0,
BILL_265,SUB_00089,2025-12-01,485.30282356478216,Partial,2026-01-11,10,
BILL_266,SUB_00089,2026-01-01,508.55514911246314,Paid,2026-01-03,20,Service Issue
BILL_267,SUB_00090,2025-11-01,371.8206756928383,Paid,2026-01-16,0,
BILL_268,SUB_00090,2025-12-01,311.32731909375934,Paid,2026-01-19,50,
BILL_269,SUB_00090,2026-01-01,312.49508067579455,Paid,2026-01-13,0,
BILL_270,SUB_00091,2025-11-01,404.3490938155361,Paid,2026-01-11,0,Promo
BILL_271,SUB_00091,2025-12-01,323.0563335194961,Paid,2026-01-08,0,Service Issue
BILL_272,SUB_00091,2026-01-01,399.4665889509361,Partial,2026-01-16,0,Billing Error
BILL_273,SUB_00092,2025-11-01,167.70758779757767,Paid,2026-01-16,20,
BILL_274,SUB_00092,2025-12-01,214.3262461510784,Overdue,2026-01-13,0,
BILL_275,SUB_00092,2026-01-01,152.8222238687219,Paid,2026-01-16,0,
BILL_276,SUB_00093,2025-11-01,113.12874125291088,Paid,2026-01-04,20,
BILL_277,SUB_00093,2025-12-01,135.5835358373586,Overdue,2026-01-17,50,Billing Error
BILL_278,SUB_00093,2026-01-01,133.44762151464997,Paid,2026-01-20,0,
BILL_279,SUB_00094,2025-11-01,190.17493034316834,Paid,2026-01-08,20,Promo
BILL_280,SUB_00094,2025-12-01,182.29101806052367,Paid,2026-01-18,0,Billing Error
BILL_281,SUB_00094,2026-01-01,160.56345797415196,Paid,2026-01-05,10,Promo
BILL_282,SUB_00095,2025-11-01,240.4828426556494,Paid,2026-01-16,0,Promo
BILL_283,SUB_00095,2025-12-01,212.35770225901933,Paid,2026-01-10,0,
BILL_284,SUB_00095,2026-01-01,283.06860305223694,Paid,2026-01-18,0,
BILL_285,SUB_00096,2025-11-01,322.5531237850491,Overdue,2026-01-02,10,
BILL_286,SUB_00096,2025-12-01,370.2881275853928,Paid,2026-01-03,0,
BILL_287,SUB_00096,2026-01-01,327.2341550751675,Paid,2026-01-08,20,
BILL_288,SUB_00097,2025-11-01,163.63154130871183,Paid,2026-01-15,0,Billing Error
BILL_289,SUB_00097,2025-12-01,169.6521641657926,Overdue,2026-01-06,0,
BILL_290,SUB_00097,2026-01-01,186.0429999171361,Paid,2026-01-05,10,
BILL_291,SUB_00098,2025-11-01,428.964337242892,Paid,2026-01-14,10,Promo
BILL_292,SUB_00098,2025-12-01,465.3604850449921,Paid,2026-01-11,10,Promo
BILL_293,SUB_00098,2026-01-01,413.2358249470126,Partial,2026-01-14,0,Promo
BILL_294,SUB_00099,2025-11-01,262.3761278220472,Paid,2026-01-13,0,
BILL_295,SUB_00099,2025-12-01,329.23083861973527,Paid,2026-01-19,20,
BILL_296,SUB_00099,2026-01-01,276.70110800696534,Paid,2026-01-12,10,
BILL_297,SUB_00100,2025-11-01,272.7174328710155,Paid,2026-01-19,0,Service Issue
BILL_298,SUB_00100,2025-12-01,383.5757660917281,Paid,2026-01-13,20,
BILL_299,SUB_00100,2026-01-01,335.5432291795864,Partial,2026-01-02,0,
BILL_300,SUB_00101,2025-11-01,169.0625540263164,Paid,2026-01-17,0,Service Issue
BILL_301,SUB_00101,2025-12-01,162.63134929384594,Paid,2026-01-15,0,Service Issue
BILL_302,SUB_00101,2026-01-01,167.89291623036158,Paid,2026-01-02,20,Service Issue
BILL_303,SUB_00102,2025-11-01,240.2139797591637,Paid,2026-01-08,0,
BILL_304,SUB_00102,2025-12-01,259.3748228024168,Paid,2026-01-20,20,
BILL_305,SUB_00102,2026-01-01,256.73242328864364,Paid,2026-01-06,0,
BILL_306,SUB_00103,2025-11-01,186.13592388775848,Partial,2026-01-18,10,Service Issue
BILL_307,SUB_00103,2025-12-01,228.58684101951312,Paid,2026-01-11,0,
BILL_308,SUB_00103,2026-01-01,208.74233618208763,Paid,2026-01-05,0,Promo
BILL_309,SUB_00104,2025-11-01,355.90900245284274,Paid,2026-01-15,10,Billing Error
BILL_310,SUB_00104,2025-12-01,404.5265506618238,Partial,2026-01-07,0,Service Issue
BILL_311,SUB_00104,2026-01-01,336.8129094149398,Overdue,2026-01-13,20,
BILL_312,SUB_00105,2025-11-01,363.27223878003946,Overdue,2026-01-13,0,
