usage_id,subscriber_id,usage_date,data_usage_gb,voice_minutes,sms_count,roaming_charges,addon_charges
USG_50,SUB_00615,2025-12-10,3.64,444,81,2.92,5.1
USG_51,SUB_03902,2025-10-21,2.43,401,86,0.93,4.94
USG_52,SUB_01773,2025-09-30,0.29,393,97,4.21,4.95
USG_53,SUB_02079,2025-10-26,3.65,78,15,3.61,10.94
USG_54,SUB_00144,2025-11-01,2.12,360,39,19.63,9.34
USG_55,SUB_01572,2025-09-21,2.84,189,30,2.32,2.08
USG_56,SUB_01267,2025-09-14,3.22,254,58,8.56,36.97
USG_57,SUB_03643,2025-12-22,7.85,93,36,11.1,1.17
USG_58,SUB_03274,2025-12-04,19.63,42,22,19.37,3.56
USG_59,SUB_03575,2025-10-20,10.19,372,72,7.16,13.56
USG_60,SUB_02287,2025-10-05,2.67,426,37,23.1,0.5
USG_61,SUB_04582,2025-12-23,1.57,18,91,1.63,2.05
USG_62,SUB_00414,2025-11-12,2.47,471,19,6.79,0.78
USG_63,SUB_04868,2025-11-25,8.3,392,64,0.58,6.91
USG_64,SUB_02372,2025-11-09,7.85,427,32,1.09,19.88
USG_65,SUB_01280,2025-11-06,7.71,241,74,3.45,2.77
USG_66,SUB_04041,2025-12-04,1.96,87,83,6.99,36.29
USG_67,SUB_01174,2025-11-04,3.61,69,84,5.67,10.69
USG_68,SUB_02091,2025-09-04,10.69,482,67,3.58,1.95
USG_69,SUB_04793,2025-10-05,2.45,312,25,1.15,4.17
USG_70,SUB_03744,2025-12-31,3.49,351,55,5.21,4.68
USG_71,SUB_01470,2025-12-05,2.79,60,51,0.71,18.16
USG_72,SUB_01212,2025-12-03,0.73,308,6,7.53,0.31
USG_73,SUB_01544,2025-10-23,9.11,193,84,5.68,15.21
USG_74,SUB_00320,2025-12-28,3.56,165,16,6.69,13.53
USG_75,SUB_01341,2025-10-07,9.18,211,97,0.07,5.49
USG_76,SUB_00290,2025-09-19,3.39,188,36,7.77,2.34
USG_77,SUB_01560,2025-12-21,1.43,170,83,14.2,0.75
USG_78,SUB_04870,2025-09-29,0.2,353,21,35.08,0.82
USG_79,SUB_03691,2025-11-11,3.19,58,35,8.08,4.88
USG_80,SUB_03757,2025-11-06,3.81,138,88,6.26,5.12
USG_81,SUB_04986,2025-09-09,2.62,336,20,4.6,3.15
USG_82,SUB_02957,2025-10-19,2.33,25,77,8.66,0.33
USG_83,SUB_03319,2025-11-26,1.13,264,91,7.78,5.05
USG_84,SUB_01035,2025-09-26,9.37,424,90,28.7,0.68
USG_85,SUB_00235,2025-11-11,1.51,340,67,18.3,8.58
USG_86,SUB_00464,2025-12-07,5.48,85,26,1.39,2.19
USG_87,SUB_03399,2025-11-08,13.44,421,2,5.61,16.9
USG_88,SUB_00158,2025-11-08,0.14,330,45,6.57,7.72
USG_89,SUB_01557,2025-11-16,8.38,473,33,3.45,0.65
USG_90,SUB_02664,2025-09-13,11.81,201,47,18.9,2.73
USG_91,SUB_00414,2025-11-30,0.25,461,57,1.41,2.87
USG_92,SUB_04331,2025-10-07,8.59,130,43,11.5,17.5
USG_93,SUB_04845,2025-11-22,2.86,298,97,6.91,16.42
USG_94,SUB_03975,2025-11-25,1.61,317,82,3.06,0.51
USG_95,SUB_03696,2025-09-22,0.26,350,80,4.77,0.29
USG_96,SUB_02230,2025-10-02,13.44,188,49,2.8,0.62
USG_97,SUB_04216,2025-12-06,4.95,386,13,2.21,5.16
USG_98,SUB_01538,2025-09-04,1.02,376,47,9.64,1.67
USG_99,SUB_03058,2025-11-02,6.07,332,88,12.97,0.18
USG_100,SUB_02706,2025-12-05,5.87,423,67,17.37,4.36
USG_101,SUB_01236,2025-10-22,11.34,369,91,9.84,2.81
USG_102,SUB_04769,2025-12-24,8.32,298,86,2.07,2.05
USG_103,SUB_01745,2025-12-08,2.22,413,36,2.85,7.26
USG_104,SUB_04735,2025-09-05,3.54,465,10,7.29,7.78
USG_105,SUB_04547,2025-12-18,8.06,439,20,4.33,9.2
USG_106,SUB_01044,2025-09-30,3.44,48,84,25.26,2.96
USG_107,SUB_03424,2025-11-13,7.98,63,76,13.99,2.68
USG_108,SUB_03686,2025-09-09,8.16,376,73,0.08,12.8
USG_109,SUB_00397,2025-11-06,14.7,424,60,45.87,0.82
USG_110,SUB_00680,2025-11-04,0.61,167,91,15.04,1.04
USG_111,SUB_01917,2025-10-16,4.36,239,92,2.62,7.95
USG_112,SUB_01425,2025-10-18,1.53,268,99,8.77,0.17
USG_113,SUB_00726,2025-10-28,13.49,65,51,19.94,12.72
USG_114,SUB_04047,2025-12-20,8.99,419,94,3.05,8.46
USG_115,SUB_03407,2025-09-18,1.76,339,93,2.68,0.65
USG_116,SUB_03542,2025-11-13,16.3,180,60,6.17,8.41
USG_117,SUB_02188,2025-12-24,4.08,285,6,10.78,8.32
USG_118,SUB_01828,2025-11-10,4.97,243,15,35.62,11.05
USG_119,SUB_00521,2025-11-08,1.59,370,24,20.12,9.12
USG_120,SUB_02960,2025-10-05,1.49,347,63,13.08,5.66
USG_121,SUB_03673,2025-10-10,18.23,38,51,12.99,0.59
USG_122,SUB_00486,2025-11-13,0.24,293,37,20.8,12.79
USG_123,SUB_04186,2025-11-11,6.15,29,83,0.79,3.11
USG_124,SUB_04190,2025-11-09,0.59,93,32,0.57,3.96
USG_125,SUB_00984,2025-10-27,3.22,23,90,9.23,4.64
USG_126,SUB_02100,2025-10-27,3.18,409,5,23.9,0.55
USG_127,SUB_03284,2025-11-15,8.41,494,87,30.19,0.0
USG_128,SUB_04991,2025-12-02,1.51,307,2,25.96,0.13
USG_129,SUB_01583,2025-10-16,0.81,189,48,3.15,6.34
USG_130,SUB_02005,2025-11-15,5.92,217,46,9.36,8.99
USG_131,SUB_00659,2025-11-20,4.23,302,56,6.63,0.68
USG_132,SUB_03777,2025-11-15,4.57,440,1,7.6,3.08
USG_133,SUB_03823,2025-12-25,2.57,224,35,9.73,2.4
USG_134,SUB_00906,2025-11-23,1.75,435,99,0.05,8.64
USG_135,SUB_04851,2025-11-19,6.72,198,92,0.16,6.88
USG_136,SUB_04097,2025-09-18,5.96,142,73,19.83,4.24
USG_137,SUB_03389,2025-11-03,9.39,480,11,2.02,3.23
USG_138,SUB_00612,2025-10-18,7.84,101,82,1.39,13.12
USG_139,SUB_02460,2025-09-08,4.31,86,17,3.29,4.09
USG_140,SUB_01566,2025-09-24,8.91,435,73,20.94,5.81
USG_141,SUB_00672,2025-09-24,1.5,441,96,18.03,21.55
USG_142,SUB_01664,2025-09-15,4.72,388,92,19.62,3.47
USG_143,SUB_00178,2025-09-27,2.02,113,63,24.32,8.24
USG_144,SUB_01209,2025-12-07,7.37,364,33,2.81,4.51
USG_145,SUB_04997,2025-10-20,13.33,493,1,2.58,0.78
USG_146,SUB_04594,2025-11-18,6.28,436,67,17.56,1.17
USG_147,SUB_04437,2025-10-27,1.73,55,43,6.51,10.13
USG_148,SUB_03556,2025-12-18,1.47,189,47,2.11,1.4
USG_149,SUB_04896,2025-12-31,0.6,159,86,1.87,0.53
USG_150,SUB_03273,2025-12-07,5.89,74,29,0.66,6.25
USG_151,SUB_00692,2025-10-17,13.97,243,22,9.97,1.14
USG_152,SUB_03874,2025-10-21,1.5,442,58,39.11,6.87
USG_153,SUB_04487,2025-09-13,22.39,207,64,1.71,6.9
USG_154,SUB_02867,2025-10-08,3.92,410,96,33.29,6.32
USG_155,SUB_00431,2025-11-11,6.42,292,48,3.5,2.34
USG_156,SUB_01781,2025-09-16,1.28,109,16,11.62,3.86
USG_157,SUB_03363,2025-09-29,0.76,176,26,13.63,11.04
USG_158,SUB_02828,2025-11-10,24.02,121,66,27.14,5.7
USG_159,SUB_03845,2025-10-09,2.17,321,99,6.63,3.21
USG_160,SUB_00455,2025-12-30,1.11,417,38,3.01,6.9
USG_161,SUB_03181,2025-10-09,9.12,83,29,11.41,1.61
USG_162,SUB_00557,2025-10-28,0.41,310,64,1.19,20.83
USG_163,SUB_02495,2025-12-24,0.7,175,85,1.64,14.37
USG_164,SUB_01858,2025-12-17,8.39,35,39,6.31,5.05
USG_165,SUB_02788,2025-10-27,3.23,301,65,19.22,25.64
USG_166,SUB_00862,2025-12-23,1.58,291,81,36.44,1.62
USG_167,SUB_02714,2025-11-02,2.85,265,94,10.0,11.71
USG_168,SUB_02762,2025-11-20,18.52,73,36,38.05,5.16
USG_169,SUB_04258,2025-09-28,1.17,348,65,8.1,5.49
USG_170,SUB_02885,2025-12-01,0.5,245,52,19.32,7.81
USG_171,SUB_00049,2025-11-02,13.08,440,80,8.14,6.34
USG_172,SUB_01210,2025-10-13,1.31,408,89,2.5,6.11
USG_173,SUB_01921,2025-12-08,13.53,319,41,0.19,9.35
USG_174,SUB_04725,2025-12-17,2.18,331,81,24.63,2.06
USG_175,SUB_01507,2025-11-08,0.11,438,47,11.48,2.6
USG_176,SUB_03755,2025-09-05,3.27,198,17,0.97,0.56
USG_177,SUB_02457,2025-11-18,1.12,138,50,0.13,5.81
USG_178,SUB_02213,2025-09-07,3.08,376,34,6.84,5.07
USG_179,SUB_02220,2025-09-29,4.02,311,50,2.48,6.34
USG_180,SUB_04690,2025-09-12,4.74,186,43,8.31,18.24
USG_181,SUB_02984,2025-10-30,14.3,303,16,0.11,1.22
USG_182,SUB_01017,2025-10-31,8.81,146,84,1.29,0.43
USG_183,SUB_00869,2025-11-22,0.05,326,63,0.81,16.25
USG_184,SUB_03404,2025-12-01,11.05,351,35,7.35,3.95
USG_185,SUB_03351,2025-10-11,1.16,366,21,9.04,3.23
USG_186,SUB_00736,2025-10-11,1.43,94,32,2.01,11.65
USG_187,SUB_01271,2025-10-12,8.45,407,93,2.76,1.03
USG_188,SUB_03497,2025-12-07,3.6,403,57,1.78,0.47
USG_189,SUB_01185,2025-09-29,2.65,136,97,9.45,7.24
USG_190,SUB_02420,2025-10-10,0.0,381,7,1.78,4.27
USG_191,SUB_04227,2025-11-29,1.86,206,49,4.47,3.48
USG_192,SUB_02123,2025-09-30,4.8,443,61,18.06,0.55
USG_193,SUB_03724,2025-11-01,0.48,39,93,2.44,12.95
USG_194,SUB_01641,2025-12-23,4.02,318,58,19.26,0.09
USG_195,SUB_00265,2025-11-24,0.06,0,5,15.98,6.59
USG_196,SUB_01847,2025-10-27,5.43,131,17,13.98,5.36
USG_197,SUB_00013,2025-11-05,0.29,285,51,0.78,5.86
USG_198,SUB_01514,2025-10-23,0.34,123,55,19.36,21.15
USG_199,SUB_02007,2025-12-07,6.39,387,95,40.48,15.61
USG_200,SUB_01194,2025-12-18,6.52,395,54,2.1,1.22
USG_201,SUB_01305,2025-11-07,1.13,393,80,5.49,0.09
USG_202,SUB_02600,2025-10-26,0.49,86,17,16.33,7.98
USG_203,SUB_01589,2025-11-13,7.67,344,8,9.89,3.76
USG_204,SUB_04055,2025-12-14,7.4,280,62,6.31,0.46
USG_205,SUB_00406,2025-09-14,1.11,428,36,5.59,3.82
USG_206,SUB_00831,2025-11-18,1.74,136,55,15.8,8.56
USG_207,SUB_01461,2025-12-11,1.23,463,27,12.22,2.48
USG_208,SUB_01655,2025-11-13,3.97,118,6,2.01,3.37
USG_209,SUB_00131,2025-09-24,5.19,404,83,8.63,12.87
USG_210,SUB_03211,2025-12-25,14.41,182,17,13.13,0.27
USG_211,SUB_00448,2025-11-21,1.14,385,45,8.97,1.7
USG_212,SUB_01986,2025-09-28,3.76,274,20,25.75,8.82
USG_213,SUB_03947,2025-10-24,0.6,59,43,2.99,1.87
USG_214,SUB_03958,2025-09-10,3.22,395,9,0.23,0.34
USG_215,SUB_03360,2025-12-09,7.79,393,41,2.13,6.55
USG_216,SUB_02263,2025-10-01,1.86,289,46,14.06,1.27
USG_217,SUB_02313,2025-12-25,4.48,59,79,21.05,0.73
USG_218,SUB_01151,2025-10-28,5.58,221,10,6.03,0.49
USG_219,SUB_02903,2025-12-25,0.95,360,93,29.2,3.1
USG_220,SUB_04385,2025-09-08,0.2,295,48,5.21,3.07
USG_221,SUB_01057,2025-10-24,0.97,189,55,4.81,7.01
USG_222,SUB_03833,2025-09-08,4.04,192,47,2.04,2.46
USG_223,SUB_04544,2025-10-20,4.39,435,0,2.57,0.88
USG_224,SUB_02691,2025-11-13,5.42,332,23,19.79,1.01
USG_225,SUB_00671,2025-10-22,3.82,200,0,4.76,10.64
USG_226,SUB_00307,2025-12-02,3.05,36,80,14.05,9.15
USG_227,SUB_00471,2025-10-23,10.33,347,31,27.54,7.56
USG_228,SUB_04659,2025-10-09,1.33,334,8,10.2,0.27
USG_229,SUB_02543,2025-12-08,3.49,13,32,8.41,0.2
USG_230,SUB_03843,2025-11-28,4.2,95,17,37.49,2.81
USG_231,SUB_02880,2025-12-11,0.64,70,61,1.21,7.81
USG_232,SUB_03361,2025-11-06,11.32,3,20,15.45,2.98
USG_233,SUB_03422,2025-11-26,5.35,285,15,22.25,5.81
USG_234,SUB_04028,2025-12-11,0.22,186,8,18.09,2.18
USG_235,SUB_01843,2025-09-20,0.34,38,39,0.45,0.36
USG_236,SUB_02591,2025-09-23,8.86,356,72,3.18,2.73
USG_237,SUB_01256,2025-10-27,1.28,335,15,1.61,8.69
USG_238,SUB_03200,2025-11-21,7.41,406,71,1.94,6.97
USG_239,SUB_01757,2025-12-10,4.33,264,59,9.4,0.28
USG_240,SUB_01405,2025-10-27,9.92,400,55,4.49,11.73
USG_241,SUB_03958,2025-09-10,4.67,36,81,15.26,1.07
USG_242,SUB_01857,2025-10-18,5.05,119,76,22.09,0.98
USG_243,SUB_01517,2025-12-23,9.16,67,74,0.02,14.54
USG_244,SUB_04435,2025-11-27,3.98,320,1,6.12,1.92
USG_245,SUB_03883,2025-11-28,2.29,227,17,29.52,3.18
USG_246,SUB_00413,2025-10-09,8.36,298,82,12.59,1.64
USG_247,SUB_04126,2025-12-04,2.34,75,58,16.44,2.06
USG_248,SUB_03714,2025-10-04,7.24,236,19,1.41,4.21
USG_249,SUB_00497,2025-11-25,4.26,408,2,14.17,9.46
USG_250,SUB_00005,2025-11-15,4.7,279,91,5.14,1.64
USG_251,SUB_03679,2025-12-29,2.46,494,57,4.09,3.01
USG_252,SUB_01457,2025-09-14,5.05,8,24,3.07,1.79
USG_253,SUB_03069,2025-09-12,2.11,456,86,13.3,13.7
USG_254,SUB_04547,2025-10-22,4.36,229,77,3.42,0.13
USG_255,SUB_01690,2025-12-12,0.61,85,28,8.77,0.17
USG_256,SUB_01628,2025-12-18,15.0,93,49,15.07,0.75
USG_257,SUB_02206,2025-09-29,0.3,92,44,4.78,1.02
USG_258,SUB_03975,2025-09-21,0.07,298,70,10.54,1.17
USG_259,SUB_02019,2025-10-25,4.62,111,9,8.99,0.07
USG_260,SUB_02938,2025-09-09,4.68,353,71,8.98,0.59
USG_261,SUB_04997,2025-11-05,13.02,83,23,8.76,8.45
USG_262,SUB_01943,2025-11-24,0.16,80,77,5.66,4.39
USG_263,SUB_01634,2025-10-09,2.67,406,32,2.4,2.43
USG_264,SUB_02005,2025-09-05,2.66,314,64,8.74,8.25
USG_265,SUB_04531,2025-09-22,1.61,313,88,5.15,0.52
USG_266,SUB_04761,2025-12-07,9.02,23,36,5.04,19.5
USG_267,SUB_00135,2025-09-04,7.23,266,8,4.99,10.26
USG_268,SUB_00968,2025-10-31,9.34,445,95,19.23,8.95
USG_269,SUB_00250,2025-09-11,3.97,27,14,15.22,3.51
USG_270,SUB_02006,2025-12-04,4.33,73,10,10.62,10.12
USG_271,SUB_00450,2025-11-05,5.49,121,22,3.33,2.87
USG_272,SUB_03231,2025-10-23,7.29,147,16,9.83,1.88
USG_273,SUB_03599,2025-09-14,2.28,172,4,14.78,23.08
USG_274,SUB_01990,2025-12-05,7.88,401,55,18.76,8.46
USG_275,SUB_01092,2025-09-08,0.23,200,39,9.49,6.14
USG_276,SUB_04375,2025-11-20,2.93,262,66,16.36,29.39
USG_277,SUB_01048,2025-12-04,0.33,157,23,21.99,5.88
USG_278,SUB_00302,2025-11-29,0.0,453,46,0.55,6.12
USG_279,SUB_04124,2025-10-06,3.71,62,86,20.67,1.16
USG_280,SUB_03450,2025-11-18,0.05,247,76,17.52,10.71
USG_281,SUB_00245,2025-11-20,10.16,452,46,0.46,0.94
USG_282,SUB_03310,2025-10-05,0.01,24,51,2.96,11.32
USG_283,SUB_02419,2025-12-30,4.29,100,2,3.75,2.17
USG_284,SUB_01895,2025-10-27,2.93,80,47,4.99,4.05
USG_285,SUB_03818,2025-09-28,1.93,13,10,10.55,9.61
USG_286,SUB_02851,2025-09-11,4.57,272,34,7.19,2.84
USG_287,SUB_04598,2025-11-09,0.71,25,12,0.69,1.83
USG_288,SUB_02901,2025-11-02,1.35,214,20,4.04,3.95
USG_289,SUB_00766,2025-10-25,8.49,264,93,1.17,1.13
USG_290,SUB_01066,2025-12-05,6.2,279,37,30.71,4.53
USG_291,SUB_03301,2025-11-11,0.75,313,56,35.88,0.82
USG_292,SUB_01099,2025-12-06,4.26,287,41,7.41,0.88
USG_293,SUB_03376,2025-12-19,5.61,426,58,6.63,1.97
USG_294,SUB_03588,2025-11-26,12.71,382,11,16.24,6.2
USG_295,SUB_00905,2025-10-11,3.32,141,27,0.96,11.5
USG_296,SUB_02757,2025-12-15,5.65,484,0,0.53,4.14
USG_297,SUB_04686,2025-11-05,2.19,491,16,2.58,1.99
USG_298,SUB_00463,2025-10-10,4.82,354,79,2.29,7.34
USG_299,SUB_00423,2025-12-04,1.76,293,16,1.68,11.59
USG_300,SUB_04600,2025-11-10,3.23,106,94,1.48,1.74
USG_301,SUB_01721,2025-10-31,4.8,255,47,6.44,4.94
USG_302,SUB_03435,2025-10-20,10.94,53,24,20.57,0.01
USG_303,SUB_01711,2025-10-04,7.52,318,56,12.87,3.82
USG_304,SUB_00141,2025-09-22,9.96,251,10,44.41,0.99
USG_305,SUB_00605,2025-11-05,3.54,16,30,0.34,0.16
USG_306,SUB_03972,2025-09-12,3.88,132,92,3.72,20.73
USG_307,SUB_00322,2025-11-14,1.97,76,54,11.29,1.35
USG_308,SUB_04071,2025-10-06,3.25,128,44,3.03,1.76
USG_309,SUB_00270,2025-11-14,5.27,170,63,8.22,3.89
USG_310,SUB_03129,2025-10-10,2.89,314,38,3.94,1.4
USG_311,SUB_02666,2025-12-06,3.85,488,92,10.3,0.2
USG_312,SUB_03332,2025-09-29,6.6,376,91,1.56,0.35
USG_313,SUB_03508,2025-10-04,3.61,497,54,17.91,4.05
USG_314,SUB_03972,2025-12-01,3.03,322,76,6.5,7.4
USG_315,SUB_00440,2025-09-17,20.98,377,55,20.72,4.32
USG_316,SUB_01148,2025-11-14,0.39,6,61,8.65,6.48
USG_317,SUB_03055,2025-09-05,10.26,400,20,6.92,3.71
USG_318,SUB_01242,2025-12-27,1.13,367,69,13.08,1.46
USG_319,SUB_01956,2025-10-26,4.12,40,85,3.94,1.68
USG_320,SUB_01346,2025-12-13,4.34,150,45,13.01,13.72
USG_321,SUB_03410,2025-11-08,3.37,197,71,4.56,7.09
USG_322,SUB_03824,2025-11-14,1.41,164,19,7.57,3.0
USG_323,SUB_01048,2025-09-30,12.63,195,94,0.81,12.11
USG_324,SUB_01122,2025-10-04,0.02,153,1,2.89,1.23
USG_325,SUB_01149,2025-10-30,18.4,300,27,7.95,0.21
USG_326,SUB_00953,2025-09-22,1.08,441,44,6.68,0.85
USG_327,SUB_00436,2025-12-12,6.25,483,67,12.56,9.34
USG_328,SUB_03703,2025-09-14,2.02,420,20,5.49,0.64
USG_329,SUB_01435,2025-10-24,2.36,497,20,0.94,3.9
USG_330,SUB_04677,2025-09-25,2.04,92,48,3.14,9.62
USG_331,SUB_02851,2025-11-27,2.32,68,48,4.09,3.19
USG_332,SUB_03864,2025-12-21,4.93,381,38,2.29,6.25
USG_333,SUB_04186,2025-12-08,7.67,214,36,19.92,0.36
USG_334,SUB_00224,2025-11-06,0.72,458,54,4.39,8.42
USG_335,SUB_03722,2025-11-26,9.03,99,55,3.48,4.34
USG_336,SUB_00938,2025-09-14,21.35,277,3,23.98,5.67
USG_337,SUB_00813,2025-11-26,6.05,483,5,12.16,7.12
USG_338,SUB_03613,2025-09-19,2.61,417,79,14.93,2.5
USG_339,SUB_04936,2025-10-21,2.48,289,90,11.39,1.42
USG_340,SUB_04296,2025-10-26,12.24,181,99,18.27,15.11
USG_341,SUB_04683,2025-10-29,9.22,121,66,6.48,3.25
USG_342,SUB_04452,2025-12-29,24.07,418,21,15.55,2.44
USG_343,SUB_03006,2025-09-30,6.75,469,54,1.66,2.48
USG_344,SUB_04480,2025-10-28,2.0,317,69,3.38,27.34
USG_345,SUB_04787,2025-12-06,9.59,84,26,6.08,18.46
USG_346,SUB_00107,2025-10-04,2.06,280,27,0.87,3.94
USG_347,SUB_04600,2025-11-20,0.54,10,88,23.04,1.22
USG_348,SUB_04208,2025-11-23,8.5,432,92,22.68,6.01
USG_349,SUB_01274,2025-12-10,4.73,288,59,7.39,2.94
USG_350,SUB_02471,2025-11-11,5.22,186,95,4.01,5.52
USG_351,SUB_02515,2025-11-29,1.92,276,97,10.57,1.51
USG_352,SUB_04313,2025-09-06,0.08,406,80,1.47,8.42
USG_353,SUB_04848,2025-11-29,4.17,80,60,4.61,4.92
USG_354,SUB_04636,2025-09-21,7.2,166,48,3.8,5.02
USG_355,SUB_00416,2025-10-26,10.99,178,86,6.02,1.33
USG_356,SUB_03117,2025-12-01,13.67,95,74,2.1,0.7
USG_357,SUB_00187,2025-12-12,8.05,387,14,16.5,0.22
USG_358,SUB_03246,2025-12-11,2.86,490,13,0.71,0.65
USG_359,SUB_01649,2025-11-21,1.88,28,64,13.31,6.15
USG_360,SUB_02877,2025-12-17,1.9,382,44,10.73,3.35
USG_361,SUB_00650,2025-10-25,3.77,11,10,12.06,0.34
USG_362,SUB_04628,2025-11-23,1.84,494,54,7.39,1.33
USG_363,SUB_00092,2025-09-20,3.87,55,36,6.3,3.41
USG_364,SUB_01275,2025-11-29,6.83,296,64,10.29,15.25
USG_365,SUB_02358,2025-11-28,0.35,482,25,27.4,12.05
USG_366,SUB_03283,2025-10-30,3.37,133,59,6.93,1.49
USG_367,SUB_03766,2025-09-09,5.36,492,81,10.54,0.19
USG_368,SUB_04849,2025-11-01,11.87,216,54,13.06,2.08
USG_369,SUB_02771,2025-12-10,7.76,40,87,14.59,4.42
USG_370,SUB_02071,2025-09-09,4.88,401,28,13.1,3.76
USG_371,SUB_02242,2025-11-07,6.93,390,25,1.29,0.91
USG_372,SUB_02473,2025-12-12,2.39,491,66,9.82,5.35
USG_373,SUB_04025,2025-12-07,0.47,464,13,30.18,20.42
USG_374,SUB_01146,2025-11-23,5.33,430,95,0.82,2.42
USG_375,SUB_02016,2025-09-16,4.22,374,12,4.69,2.36
USG_376,SUB_01393,2025-11-23,9.06,240,94,2.79,2.59
USG_377,SUB_03362,2025-11-07,0.99,284,62,12.24,9.41
USG_378,SUB_00917,2025-11-06,16.95,317,4,6.14,0.51
USG_379,SUB_01512,2025-09-07,10.11,344,12,22.55,6.12
USG_380,SUB_04274,2025-11-18,8.51,157,60,21.15,2.24
USG_381,SUB_01555,2025-12-05,2.95,456,38,18.01,9.48
USG_382,SUB_04638,2025-11-11,2.0,10,62,5.22,6.38
USG_383,SUB_04185,2025-09-13,9.44,254,61,5.7,3.64
USG_384,SUB_02179,2025-10-02,2.49,370,64,7.17,4.68
USG_385,SUB_00531,2025-09-18,3.77,208,66,4.6,9.96
USG_386,SUB_04969,2025-11-27,1.92,282,26,2.96,1.87
USG_387,SUB_04222,2025-11-03,4.82,345,22,22.8,3.18
USG_388,SUB_01720,2025-09-11,5.13,49,63,5.55,4.66
USG_389,SUB_04505,2025-11-11,0.1,72,76,38.26,0.8
USG_390,SUB_00852,2025-09-29,0.77,158,13,4.53,11.84
USG_391,SUB_03791,2025-12-28,5.25,36,90,3.89,19.38
USG_392,SUB_03665,2025-11-29,9.24,413,32,0.91,1.51
USG_393,SUB_03069,2025-09-13,9.66,403,74,4.79,6.63
USG_394,SUB_00681,2025-12-06,1.62,280,10,4.05,3.44
USG_395,SUB_01829,2025-12-07,8.36,28,93,30.5,4.69
USG_396,SUB_03614,2025-09-13,1.71,314,32,3.82,3.66
